seed,correlation,delete_rate,queries,PostFilter-IVF_recall,PostFilter-IVF_exact,PostFilter-IVF_raw,PostFilter-IVF_latency_ms,PostFilter-IVF_violations,PostFilter-IVF_certified_fraction,PreFilter-IVF_recall,PreFilter-IVF_exact,PreFilter-IVF_raw,PreFilter-IVF_latency_ms,PreFilter-IVF_violations,PreFilter-IVF_certified_fraction,BitmapSlice-Exact_recall,BitmapSlice-Exact_exact,BitmapSlice-Exact_raw,BitmapSlice-Exact_latency_ms,BitmapSlice-Exact_violations,BitmapSlice-Exact_certified_fraction,PACER-A_recall,PACER-A_exact,PACER-A_raw,PACER-A_latency_ms,PACER-A_violations,PACER-A_certified_fraction,PACER-C_recall,PACER-C_exact,PACER-C_raw,PACER-C_latency_ms,PACER-C_violations,PACER-C_certified_fraction,PACER-X_recall,PACER-X_exact,PACER-X_raw,PACER-X_latency_ms,PACER-X_violations,PACER-X_certified_fraction
11,positive,0.0,16,0.6302083333333334,0.25,580.5625,1.5713993125245906,0,0.0,0.86875,0.5,414.875,5.078874750040541,0,0.0,1.0,1.0,462.8125,0.6381065001335173,0,1.0,0.9875,0.875,205.0625,1.5147976249920703,0,0.75,1.0,1.0,462.8125,2.150346500030764,0,1.0,1.0,1.0,462.8125,2.2383028124863813,0,1.0
11,positive,0.12,16,0.6510416666666666,0.25,574.5625,0.5906647500353301,0,0.0,0.875,0.5,422.125,0.9845701874837687,0,0.0,1.0,1.0,463.0,0.6722055625516532,0,1.0,0.9875,0.875,205.25,1.4659915625543363,0,0.75,1.0,1.0,463.0,2.2284659999627365,0,1.0,1.0,1.0,463.0,2.2845711251306966,0,1.0
11,positive,0.24,16,0.5947916666666666,0.1875,580.5625,0.5874860625283418,0,0.0,0.85625,0.5,414.875,1.1612916875378687,0,0.0,1.0,1.0,462.8125,0.6873551249668708,0,1.0,0.9625,0.8125,205.0625,1.5065578125472712,0,0.75,1.0,1.0,462.8125,5.559525562489398,0,1.0,1.0,1.0,462.8125,9.12188825000726,0,1.0
11,independent,0.0,16,0.38125,0.0625,563.75,0.5408677500042813,0,0.0,0.8125,0.5,375.25,0.8745613125142881,0,0.0,1.0,1.0,465.75,2.6377570625584212,0,1.0,0.925,0.8125,199.0,1.472369875102686,0,0.75,1.0,1.0,465.75,3.3284138750389047,0,1.0,1.0,1.0,465.75,2.310170562481062,0,1.0
11,independent,0.12,16,0.36875,0.0625,567.625,0.5526464999547898,0,0.0,0.79375,0.5,379.0625,0.9362807500110648,0,0.0,1.0,1.0,465.8125,0.6648274374754237,0,1.0,0.93125,0.8125,199.0625,1.5139526874747844,0,0.75,1.0,1.0,465.8125,8.23798581251367,0,1.0,1.0,1.0,465.8125,7.105386749998388,0,1.0
11,independent,0.24,16,0.38125,0.0625,567.625,1.3004515001284744,0,0.0,0.80625,0.5,379.0625,0.8711573749167201,0,0.0,1.0,1.0,465.8125,0.6186458125512218,0,1.0,0.9375,0.8125,199.0625,1.3325210000516563,0,0.75,1.0,1.0,465.8125,2.2206297500417804,0,1.0,1.0,1.0,465.8125,2.393956437487077,0,1.0
11,negative,0.0,16,0.38958333333333334,0.0625,575.75,0.49801187498133004,0,0.0,0.80625,0.5625,402.875,0.7910892499864985,0,0.0,1.0,1.0,462.5625,0.6181352500789217,0,1.0,0.9875,0.875,201.9375,1.5901236875208724,0,0.75,1.0,1.0,462.5625,2.392770937547084,0,1.0,1.0,1.0,462.5625,2.225663000018585,0,1.0
11,negative,0.12,16,0.38333333333333336,0.0,575.75,0.5066913749942614,0,0.0,0.8,0.5625,402.875,0.773531187462595,0,0.0,1.0,1.0,462.5625,0.5844971250326125,0,1.0,0.98125,0.875,201.9375,1.41775512491904,0,0.75,1.0,1.0,462.5625,2.2135106250402714,0,1.0,1.0,1.0,462.5625,2.143065062568894,0,1.0
11,negative,0.24,16,0.384375,0.0,583.9375,0.6018316250333555,0,0.0,0.81875,0.5625,404.125,0.9647515624351399,0,0.0,1.0,1.0,462.625,0.810257812531745,0,1.0,0.975,0.8125,202.0,1.4870370625317264,0,0.75,1.0,1.0,462.625,2.47711193750888,0,1.0,1.0,1.0,462.625,2.472303562512934,0,1.0
23,positive,0.0,16,0.7833333333333333,0.3125,577.0625,0.5496820000416847,0,0.0,0.8625,0.5,368.125,1.0045059375158871,0,0.0,1.0,1.0,472.375,0.6072161249903729,0,1.0,0.99375,0.9375,203.75,1.355793187457266,0,0.75,1.0,1.0,472.375,2.1063190000063514,0,1.0,1.0,1.0,472.375,2.148878750034555,0,1.0
23,positive,0.12,16,0.7604166666666666,0.3125,577.0625,0.6276021250073427,0,0.0,0.8375,0.5,368.125,1.1415446250566674,0,0.0,1.0,1.0,472.375,0.7652602500343164,0,1.0,0.99375,0.9375,203.75,1.4719590000424887,0,0.75,1.0,1.0,472.375,2.1563380625195805,0,1.0,1.0,1.0,472.375,2.2247835624966683,0,1.0
23,positive,0.24,16,0.7791666666666667,0.375,577.8125,0.5609841249452074,0,0.0,0.85625,0.5625,373.8125,0.9728211249750984,0,0.0,1.0,1.0,472.4375,0.6772791249716192,0,1.0,0.99375,0.9375,203.8125,1.4673295624447746,0,0.75,1.0,1.0,472.4375,2.3315623125483853,0,1.0,1.0,1.0,472.4375,2.364804437490875,0,1.0
23,independent,0.0,16,0.35625,0.0625,575.9375,0.6103351874173768,0,0.0,0.8625,0.5625,380.4375,0.9519641250221866,0,0.0,1.0,1.0,458.125,0.710346187503319,0,1.0,0.99375,0.9375,201.875,1.618607812559958,0,0.75,1.0,1.0,458.125,2.3230298750149814,0,1.0,1.0,1.0,458.125,4.86146562502654,0,1.0
23,independent,0.12,16,0.37083333333333335,0.0625,559.8125,0.5712803749418072,0,0.0,0.85,0.5625,382.5,0.9758556249721551,0,0.0,1.0,1.0,458.25,0.8187705000182177,0,1.0,0.99375,0.9375,202.0,1.4914531875547254,0,0.75,1.0,1.0,458.25,2.1160744374810747,0,1.0,1.0,1.0,458.25,2.0650683124756597,0,1.0
23,independent,0.24,16,0.35208333333333336,0.0625,560.625,0.5214357499312428,0,0.0,0.85625,0.5625,380.5625,0.8347848124969914,0,0.0,1.0,1.0,458.375,0.5826762500475979,0,1.0,0.99375,0.9375,202.125,1.3496526874519077,0,0.75,1.0,1.0,458.375,2.1612239375201625,0,1.0,1.0,1.0,458.375,2.1698158749643426,0,1.0
23,negative,0.0,16,0.3614583333333333,0.0625,590.625,0.6242268124196926,0,0.0,0.81875,0.5625,422.0625,0.985323812471961,0,0.0,1.0,1.0,466.3125,0.6721928749868766,0,1.0,0.9875,0.875,197.75,1.6071503749799376,0,0.75,1.0,1.0,466.3125,2.545841625050116,0,1.0,1.0,1.0,466.3125,2.4833060000162277,0,1.0
23,negative,0.12,16,0.37604166666666666,0.0625,583.4375,0.6222956250496736,0,0.0,0.84375,0.5625,426.3125,0.9678438750597707,0,0.0,1.0,1.0,466.5,0.6786749374327883,0,1.0,0.99375,0.9375,197.9375,1.498526937467659,0,0.75,1.0,1.0,466.5,2.488648624932921,0,1.0,1.0,1.0,466.5,4.544445187462998,0,1.0
23,negative,0.24,16,0.33541666666666664,0.0625,592.9375,0.7175343125140898,0,0.0,0.81875,0.5625,402.1875,0.9809343749793697,0,0.0,1.0,1.0,466.4375,0.6659335624590312,0,1.0,0.9875,0.875,197.875,1.5194805625071695,0,0.75,1.0,1.0,466.4375,4.58899074996566,0,1.0,1.0,1.0,466.4375,4.323617187509399,0,1.0
37,positive,0.0,16,0.6645833333333333,0.3125,605.625,1.6563016249904194,0,0.0,0.875,0.6875,356.0625,0.9472978750011407,0,0.0,1.0,1.0,462.75,0.6080714375684693,0,1.0,0.99375,0.9375,202.0,1.48027049999655,0,0.75,1.0,1.0,462.75,2.286061062477529,0,1.0,1.0,1.0,462.75,3.03075693750543,0,1.0
37,positive,0.12,16,0.6047619047619047,0.25,607.0,0.6528293750136527,0,0.0,0.86875,0.6875,365.125,0.9399826250842125,0,0.0,1.0,1.0,463.0625,0.7659351874451659,0,1.0,0.99375,0.9375,202.3125,3.5308697500511244,0,0.75,1.0,1.0,463.0625,7.930958999992299,0,1.0,1.0,1.0,463.0625,3.957172687506727,0,1.0
37,positive,0.24,16,0.6130952380952381,0.25,607.0,0.6100962499431262,0,0.0,0.86875,0.6875,365.125,3.790832000078126,0,0.0,1.0,1.0,463.0625,0.7374103124959674,0,1.0,0.99375,0.9375,202.3125,1.493167437416787,0,0.75,1.0,1.0,463.0625,2.120196562458432,0,1.0,1.0,1.0,463.0625,2.266639187439523,0,1.0
37,independent,0.0,16,0.3125,0.0,593.75,0.591585124965377,0,0.0,0.7875,0.5,367.5625,0.8399774999929832,0,0.0,1.0,1.0,464.1875,0.6651820624483662,0,1.0,0.9875,0.875,200.0625,1.5097769375529424,0,0.75,1.0,1.0,464.1875,5.037408499930507,0,1.0,1.0,1.0,464.1875,5.360460249988819,0,1.0
37,independent,0.12,16,0.30625,0.0,593.75,0.7455895000703094,0,0.0,0.775,0.5,367.5625,0.9834123750351864,0,0.0,1.0,1.0,464.1875,3.379039812557494,0,1.0,0.975,0.8125,200.0625,1.8307367500085547,0,0.75,1.0,1.0,464.1875,5.649182437480249,0,1.0,1.0,1.0,464.1875,2.9502609375526845,0,1.0
37,independent,0.24,16,0.31875000000000003,0.0,593.75,0.6190421875658103,0,0.0,0.78125,0.5,367.5625,0.834141375037234,0,0.0,1.0,1.0,464.1875,0.6441210000218689,0,1.0,0.975,0.8125,200.0625,1.505347937523993,0,0.75,1.0,1.0,464.1875,4.690013562452577,0,1.0,1.0,1.0,464.1875,3.477192125046713,0,1.0
37,negative,0.0,16,0.2875,0.0,600.3125,0.5404295625055511,0,0.0,0.7875,0.5,416.625,0.8898440000280061,0,0.0,1.0,1.0,463.0,0.6329708124326316,0,1.0,0.95625,0.8125,200.3125,1.4040102499564,0,0.75,1.0,1.0,463.0,2.309362812496829,0,1.0,1.0,1.0,463.0,6.935816374976866,0,1.0
37,negative,0.12,16,0.2875,0.0,600.3125,0.6854659374653238,0,0.0,0.79375,0.5,416.625,1.051918187499723,0,0.0,1.0,1.0,463.0,0.6642196250652432,0,1.0,0.95625,0.8125,200.3125,5.480032249920441,0,0.75,1.0,1.0,463.0,4.607475125055771,0,1.0,1.0,1.0,463.0,2.620069749866616,0,1.0
37,negative,0.24,16,0.32708333333333334,0.0,603.0625,0.5585860624819361,0,0.0,0.80625,0.5,423.625,0.891185812548656,0,0.0,1.0,1.0,463.0625,3.1560734374807,0,1.0,0.96875,0.8125,200.375,1.416243624987601,0,0.75,1.0,1.0,463.0625,2.2033809374590874,0,1.0,1.0,1.0,463.0625,2.288637437516172,0,1.0
