seed,correlation,delete_rate,query_id,method,recall_at_k,secure_topk_exact,raw_candidates,latency_ms,violations,certified
11,positive,0.0,0,PostFilter-IVF,0.800000,0.000000,656.000,0.598178,0,0
11,positive,0.0,0,PreFilter-IVF,0.800000,0.000000,624.000,2.445402,0,0
11,positive,0.0,0,BitmapSlice-Exact,1.000000,1.000000,1741.000,2.113294,0,1
11,positive,0.0,0,PACER-A,1.000000,1.000000,700.000,2.501022,0,0
11,positive,0.0,0,PACER-C,1.000000,1.000000,1741.000,5.373851,0,1
11,positive,0.0,0,PACER-X,1.000000,1.000000,1741.000,5.462037,0,1
11,positive,0.0,1,PostFilter-IVF,0.600000,0.000000,526.000,0.470325,0,0
11,positive,0.0,1,PreFilter-IVF,0.800000,0.000000,579.000,1.374405,0,0
11,positive,0.0,1,BitmapSlice-Exact,1.000000,1.000000,108.000,0.193821,0,1
11,positive,0.0,1,PACER-A,1.000000,1.000000,108.000,2.377034,0,1
11,positive,0.0,1,PACER-C,1.000000,1.000000,108.000,2.304662,0,1
11,positive,0.0,1,PACER-X,1.000000,1.000000,108.000,2.486439,0,1
11,positive,0.0,2,PostFilter-IVF,0.000000,0.000000,639.000,0.477144,0,0
11,positive,0.0,2,PreFilter-IVF,1.000000,1.000000,294.000,0.486470,0,0
11,positive,0.0,2,BitmapSlice-Exact,1.000000,1.000000,3.000,0.059108,0,1
11,positive,0.0,2,PACER-A,1.000000,1.000000,3.000,0.255930,0,1
11,positive,0.0,2,PACER-C,1.000000,1.000000,3.000,0.253376,0,1
11,positive,0.0,2,PACER-X,1.000000,1.000000,3.000,0.302815,0,1
11,positive,0.0,3,PostFilter-IVF,0.750000,0.000000,660.000,0.492204,0,0
11,positive,0.0,3,PreFilter-IVF,1.000000,1.000000,201.000,0.441384,0,0
11,positive,0.0,3,BitmapSlice-Exact,1.000000,1.000000,4.000,0.061043,0,1
11,positive,0.0,3,PACER-A,1.000000,1.000000,4.000,0.188694,0,1
11,positive,0.0,3,PACER-C,1.000000,1.000000,4.000,0.169271,0,1
11,positive,0.0,3,PACER-X,1.000000,1.000000,4.000,0.191499,0,1
11,positive,0.0,4,PostFilter-IVF,0.500000,0.000000,446.000,0.409327,0,0
11,positive,0.0,4,PreFilter-IVF,0.700000,0.000000,498.000,1.181299,0,0
11,positive,0.0,4,BitmapSlice-Exact,1.000000,1.000000,1796.000,2.092641,0,1
11,positive,0.0,4,PACER-A,0.900000,0.000000,700.000,2.315791,0,0
11,positive,0.0,4,PACER-C,1.000000,1.000000,1796.000,5.482367,0,1
11,positive,0.0,4,PACER-X,1.000000,1.000000,1796.000,5.505613,0,1
11,positive,0.0,5,PostFilter-IVF,0.200000,0.000000,516.000,0.437639,0,0
11,positive,0.0,5,PreFilter-IVF,0.600000,0.000000,707.000,1.173313,0,0
11,positive,0.0,5,BitmapSlice-Exact,1.000000,1.000000,107.000,0.191635,0,1
11,positive,0.0,5,PACER-A,1.000000,1.000000,107.000,2.532382,0,1
