query_id,method,regime,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,distance_evals,policy_checks,certified
0,PostFilter-IVF,broad,1.0,1,none,0,0,0,2.4183749999338033,2500,2500,2500,0
0,PreFilter-IVF,broad,1.0,1,none,0,0,0,7.668749999993452,2640,119,2640,0
0,BitmapSlice-Exact,broad,1.0,1,none,0,0,0,1.4454509998813592,463,407,463,1
0,PACER-A,broad,1.0,1,none,0,0,0,4.486226999915743,463,463,463,1
0,PACER-C,broad,1.0,1,none,0,0,0,5.156025999895064,463,463,463,1
0,PACER-X,broad,1.0,1,none,0,0,0,5.806113000062396,463,463,463,1
1,PostFilter-IVF,medium,0.5,0,candidate_starvation,0,0,0,2.894115999879432,2500,2500,2500,0
1,PreFilter-IVF,medium,1.0,1,none,0,0,0,4.0490259998477995,1608,8,1608,0
1,BitmapSlice-Exact,medium,1.0,1,none,0,0,0,0.19043799989049148,8,8,8,1
1,PACER-A,medium,1.0,1,none,0,0,0,0.7329959998969571,8,8,8,1
1,PACER-C,medium,1.0,1,none,0,0,0,0.52265899989834,8,8,8,1
1,PACER-X,medium,1.0,1,none,0,0,0,0.5727570000999549,8,8,8,1
2,PostFilter-IVF,narrow,1.0,1,none,0,0,0,2.91342699983943,2500,2500,2500,0
2,PreFilter-IVF,narrow,1.0,1,none,0,0,0,1.9998379998469318,510,2,510,0
2,BitmapSlice-Exact,narrow,1.0,1,none,0,0,0,0.15299300002880045,3,2,3,1
2,PACER-A,narrow,1.0,1,none,0,0,0,0.38208299997677386,3,3,3,1
2,PACER-C,narrow,1.0,1,none,0,0,0,0.2955869999823335,3,3,3,1
2,PACER-X,narrow,1.0,1,none,0,0,0,0.274181999884604,3,3,3,1
3,PostFilter-IVF,cold,0.5,0,candidate_starvation,0,0,0,2.212695999787684,2500,2500,2500,0
3,PreFilter-IVF,cold,1.0,1,none,0,0,0,1.2243059998127137,751,4,751,0
3,BitmapSlice-Exact,cold,1.0,1,none,0,0,0,0.09019900016937754,4,4,4,1
3,PACER-A,cold,1.0,1,none,0,0,0,0.42663499993977894,4,4,4,1
3,PACER-C,cold,1.0,1,none,0,0,0,0.3408909999507159,4,4,4,1
3,PACER-X,cold,1.0,1,none,0,0,0,0.359384000148566,4,4,4,1
4,PostFilter-IVF,broad,1.0,1,none,0,0,0,2.6043919999665377,2500,2500,2500,0
4,PreFilter-IVF,broad,1.0,1,none,0,0,0,4.411896999954479,2640,399,2640,0
4,BitmapSlice-Exact,broad,1.0,1,none,0,0,0,4.9143429998821375,1432,1274,1432,1
4,PACER-A,broad,1.0,1,none,0,0,0,10.78700499988372,1200,1200,1200,0
4,PACER-C,broad,1.0,1,none,0,0,0,10.455151000087426,1432,1432,1432,1
4,PACER-X,broad,1.0,1,none,0,0,0,7.8661860000011075,1432,1432,1432,1
5,PostFilter-IVF,medium,1.0,1,none,0,0,0,2.3586579998209345,2500,2500,2500,0
5,PreFilter-IVF,medium,1.0,1,none,0,0,0,1.8562469999778841,482,24,482,0
5,BitmapSlice-Exact,medium,1.0,1,none,0,0,0,0.1880410000012489,28,24,28,1
5,PACER-A,medium,1.0,1,none,0,0,0,0.34978000007868104,28,28,28,1
5,PACER-C,medium,1.0,1,none,0,0,0,0.3122969999367342,28,28,28,1
5,PACER-X,medium,1.0,1,none,0,0,0,0.31010999987302057,28,28,28,1
6,PostFilter-IVF,narrow,1.0,1,none,0,0,0,2.5002390000281594,2500,2500,2500,0
6,PreFilter-IVF,narrow,1.0,1,none,0,0,0,0.7336989999657817,337,3,337,0
6,BitmapSlice-Exact,narrow,1.0,1,none,0,0,0,0.08428699993601185,3,3,3,1
6,PACER-A,narrow,1.0,1,none,0,0,0,0.21761500011052703,3,3,3,1
6,PACER-C,narrow,1.0,1,none,0,0,0,0.18905399997493078,3,3,3,1
6,PACER-X,narrow,1.0,1,none,0,0,0,0.17781900010049867,3,3,3,1
7,PostFilter-IVF,cold,1.0,1,none,0,0,0,2.0795929999621876,2500,2500,2500,0
7,PreFilter-IVF,cold,1.0,1,none,0,0,0,0.4613460000655323,265,1,265,0
7,BitmapSlice-Exact,cold,1.0,1,none,0,0,0,0.07686699996156676,1,1,1,1
7,PACER-A,cold,1.0,1,none,0,0,0,0.293089000024338,1,1,1,1
7,PACER-C,cold,1.0,1,none,0,0,0,0.30047100017327466,1,1,1,1
7,PACER-X,cold,1.0,1,none,0,0,0,0.3034359999674052,1,1,1,1
8,PostFilter-IVF,broad,0.6,0,ranking_truncation,0,0,0,3.2906289998209104,2500,2500,2500,0
8,PreFilter-IVF,broad,0.6,0,ranking_truncation,0,0,0,7.227776000036101,2720,61,2720,0
8,BitmapSlice-Exact,broad,1.0,1,none,0,0,0,2.5429009999697882,510,434,510,1
8,PACER-A,broad,1.0,1,none,0,0,0,6.763456999806294,510,510,510,1
8,PACER-C,broad,1.0,1,none,0,0,0,6.284563999997772,510,510,510,1
8,PACER-X,broad,1.0,1,none,0,0,0,6.47765899998376,510,510,510,1
9,PostFilter-IVF,medium,1.0,1,none,0,0,0,2.416167999854224,2500,2500,2500,0
9,PreFilter-IVF,medium,1.0,1,none,0,0,0,3.149283999846375,854,16,854,0
9,BitmapSlice-Exact,medium,1.0,1,none,0,0,0,0.16356800006178673,16,16,16,1
9,PACER-A,medium,1.0,1,none,0,0,0,0.5366950001644,16,16,16,1
9,PACER-C,medium,1.0,1,none,0,0,0,0.3738139998858969,16,16,16,1
9,PACER-X,medium,1.0,1,none,0,0,0,0.3257609998854605,16,16,16,1
10,PostFilter-IVF,narrow,1.0,1,none,0,0,0,2.2266319999744155,2500,2500,2500,0
10,PreFilter-IVF,narrow,1.0,1,none,0,0,0,0.8540419999008009,425,3,425,0
10,BitmapSlice-Exact,narrow,1.0,1,none,0,0,0,0.08779900008448749,3,3,3,1
10,PACER-A,narrow,1.0,1,none,0,0,0,0.3142949999528355,3,3,3,1
10,PACER-C,narrow,1.0,1,none,0,0,0,0.37838899993403174,3,3,3,1
10,PACER-X,narrow,1.0,1,none,0,0,0,0.2971240000988473,3,3,3,1
11,PostFilter-IVF,cold,1.0,1,none,0,0,0,2.2115879999091703,2500,2500,2500,0
11,PreFilter-IVF,cold,1.0,1,none,0,0,0,1.279360000125962,390,1,390,0
11,BitmapSlice-Exact,cold,1.0,1,none,0,0,0,0.1290540001264162,1,1,1,1
11,PACER-A,cold,1.0,1,none,0,0,0,0.32295300002260774,1,1,1,1
11,PACER-C,cold,1.0,1,none,0,0,0,0.2682279998680315,1,1,1,1
11,PACER-X,cold,1.0,1,none,0,0,0,0.25058400001398695,1,1,1,1
12,PostFilter-IVF,broad,1.0,1,none,0,0,0,3.767100000004575,2500,2500,2500,0
12,PreFilter-IVF,broad,1.0,1,none,0,0,0,8.468473999982962,2642,349,2642,0
12,BitmapSlice-Exact,broad,1.0,1,none,0,0,0,4.880316000026141,1195,806,1195,1
12,PACER-A,broad,1.0,1,none,0,0,0,8.750017000011212,1195,1195,1195,1
12,PACER-C,broad,1.0,1,none,0,0,0,9.313309999924968,1195,1195,1195,1
12,PACER-X,broad,1.0,1,none,0,0,0,10.50327699999798,1195,1195,1195,1
13,PostFilter-IVF,medium,1.0,1,none,0,0,0,2.370018999954482,2500,2500,2500,0
13,PreFilter-IVF,medium,1.0,1,none,0,0,0,3.3083809998970537,2547,25,2547,0
13,BitmapSlice-Exact,medium,1.0,1,none,0,0,0,0.17839800011643092,31,25,31,1
