dataset,query_id,regime,method,n,dim,k,allowed_count,selectivity,returned,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,candidates,distance_evals,policy_checks,summary_checks,visited_cluster_count,certified,certificate_false_positive
digits,0,broad,ExactSecure,1797,64,10,1617,0.8998330550918197,10,1.0,1,none,0,0,0,1.013496000041414,1797,1617,1617,1797,0,0,1,0
digits,0,broad,PostFilter-IVF,1797,64,10,1617,0.8998330550918197,10,1.0,1,none,0,0,0,0.44200699994689785,443,396,443,443,0,8,0,0
digits,0,broad,AdaptivePostFilter-IVF,1797,64,10,1617,0.8998330550918197,10,1.0,1,none,0,0,0,2.2775439999804803,1797,1617,1797,1797,0,28,0,0
digits,0,broad,TenantPartition-IVF,1797,64,10,1617,0.8998330550918197,10,1.0,1,none,0,0,0,0.47939699993548857,443,396,443,443,0,8,0,0
digits,0,broad,PreFilter-IVF,1797,64,10,1617,0.8998330550918197,10,1.0,1,none,0,0,0,2.0876409998891177,509,461,461,509,8,8,0,0
digits,0,broad,PACER-A,1797,64,10,1617,0.8998330550918197,10,1.0,1,none,0,0,0,1.6637510000236944,720,661,720,720,11,11,0,0
digits,0,broad,PACER-C,1797,64,10,1617,0.8998330550918197,10,1.0,1,none,0,0,0,3.8034440001410985,1797,1617,1797,1797,28,28,1,0
digits,0,broad,PACER-X,1797,64,10,1617,0.8998330550918197,10,1.0,1,none,0,0,0,3.867015999958312,1797,1617,1797,1797,28,28,1,0
digits,0,broad,StaleNoRecheck,1797,64,10,1617,0.8998330550918197,10,0.7,0,ranking_truncation,0,3,0,0.3609870000218507,443,443,443,443,0,8,0,0
digits,0,broad,NaiveNoPolicy,1797,64,10,1617,0.8998330550918197,10,0.7,0,ranking_truncation,0,3,0,0.11115100005554268,443,443,443,0,0,8,0,0
digits,1,medium,ExactSecure,1797,64,10,272,0.15136338341680577,10,1.0,1,none,0,0,0,1.0198800000580377,1797,272,272,1797,0,0,1,0
digits,1,medium,PostFilter-IVF,1797,64,10,272,0.15136338341680577,10,1.0,1,none,0,0,0,0.5734249998567975,605,191,605,605,0,8,0,0
digits,1,medium,AdaptivePostFilter-IVF,1797,64,10,272,0.15136338341680577,10,1.0,1,none,0,0,0,2.2586430000046676,1797,272,1797,1797,0,28,0,0
digits,1,medium,TenantPartition-IVF,1797,64,10,272,0.15136338341680577,10,1.0,1,none,0,0,0,0.5030560000705009,605,191,605,605,0,8,0,0
digits,1,medium,PreFilter-IVF,1797,64,10,272,0.15136338341680577,10,1.0,1,none,0,0,0,0.987351000048875,697,199,199,697,10,8,0,0
digits,1,medium,PACER-A,1797,64,10,272,0.15136338341680577,10,1.0,1,none,0,0,0,1.6067740000380581,301,272,301,301,28,18,1,0
digits,1,medium,PACER-C,1797,64,10,272,0.15136338341680577,10,1.0,1,none,0,0,0,1.6742279999562015,301,272,301,301,28,18,1,0
digits,1,medium,PACER-X,1797,64,10,272,0.15136338341680577,10,1.0,1,none,0,0,0,1.4976950001255318,301,272,301,301,28,18,1,0
digits,1,medium,StaleNoRecheck,1797,64,10,272,0.15136338341680577,10,0.9,0,ranking_truncation,0,1,0,0.5147659999238385,605,211,605,605,0,8,0,0
digits,1,medium,NaiveNoPolicy,1797,64,10,272,0.15136338341680577,10,0.6,0,ranking_truncation,3,0,2,0.14713800010213163,605,605,605,0,0,8,0,0
digits,2,narrow,ExactSecure,1797,64,10,8,0.004451864218141347,8,1.0,1,none,0,0,0,0.978155999973751,1797,8,8,1797,0,0,1,0
digits,2,narrow,PostFilter-IVF,1797,64,10,8,0.004451864218141347,5,0.625,0,candidate_starvation,0,0,0,0.4093740001280821,552,5,552,552,0,8,0,0
digits,2,narrow,AdaptivePostFilter-IVF,1797,64,10,8,0.004451864218141347,8,1.0,1,none,0,0,0,1.9590399999742658,1797,8,1797,1797,0,28,0,0
digits,2,narrow,TenantPartition-IVF,1797,64,10,8,0.004451864218141347,5,0.625,0,candidate_starvation,0,0,0,0.40272500018545543,552,5,552,552,0,8,0,0
digits,2,narrow,PreFilter-IVF,1797,64,10,8,0.004451864218141347,8,1.0,1,none,0,0,0,0.4230950000874145,373,8,8,373,28,5,0,0
