dataset,query_id,regime,method,n,dim,k,allowed_count,selectivity,returned,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,candidates,distance_evals,policy_checks,summary_checks,visited_cluster_count,certified,certificate_false_positive
diabetes,0,broad,ExactSecure,442,10,10,398,0.9004524886877828,10,1.0,1,none,0,0,0,0.5168000000139727,442,398,398,442,0,0,1,0
diabetes,0,broad,PostFilter-IVF,442,10,10,398,0.9004524886877828,10,1.0,1,none,0,0,0,0.4767799998717237,220,206,220,220,0,8,0,0
diabetes,0,broad,AdaptivePostFilter-IVF,442,10,10,398,0.9004524886877828,10,1.0,1,none,0,0,0,1.6323959998771898,442,398,442,442,0,16,0,0
diabetes,0,broad,TenantPartition-IVF,442,10,10,398,0.9004524886877828,10,1.0,1,none,0,0,0,0.5354420000003302,220,206,220,220,0,8,0,0
diabetes,0,broad,PreFilter-IVF,442,10,10,398,0.9004524886877828,10,1.0,1,none,0,0,0,1.1869459999616083,252,230,230,252,8,8,0,0
diabetes,0,broad,PACER-A,442,10,10,398,0.9004524886877828,10,1.0,1,none,0,0,0,1.673813000024893,220,199,220,220,8,8,0,0
diabetes,0,broad,PACER-C,442,10,10,398,0.9004524886877828,10,1.0,1,none,0,0,0,2.673519000154556,367,336,367,367,13,13,1,0
diabetes,0,broad,PACER-X,442,10,10,398,0.9004524886877828,10,1.0,1,none,0,0,0,2.4178310000024794,367,336,367,367,13,13,1,0
diabetes,0,broad,StaleNoRecheck,442,10,10,398,0.9004524886877828,10,0.8,0,ranking_truncation,0,2,0,0.3487970000151108,220,220,220,220,0,8,0,0
diabetes,0,broad,NaiveNoPolicy,442,10,10,398,0.9004524886877828,10,0.8,0,ranking_truncation,0,2,0,0.10913999994954793,220,220,220,0,0,8,0,0
diabetes,1,medium,ExactSecure,442,10,10,31,0.07013574660633484,10,1.0,1,none,0,0,0,0.25561000006746326,442,31,31,442,0,0,1,0
diabetes,1,medium,PostFilter-IVF,442,10,10,31,0.07013574660633484,10,0.7,0,ranking_truncation,0,0,0,0.19703599991771625,218,10,218,218,0,8,0,0
diabetes,1,medium,AdaptivePostFilter-IVF,442,10,10,31,0.07013574660633484,10,1.0,1,none,0,0,0,0.7577199999104778,442,31,442,442,0,16,0,0
diabetes,1,medium,TenantPartition-IVF,442,10,10,31,0.07013574660633484,10,0.7,0,ranking_truncation,0,0,0,0.1968349999970087,218,10,218,218,0,8,0,0
diabetes,1,medium,PreFilter-IVF,442,10,10,31,0.07013574660633484,10,0.7,0,ranking_truncation,0,0,0,0.5829799999901297,224,12,12,224,9,7,0,0
diabetes,1,medium,PACER-A,442,10,10,31,0.07013574660633484,10,1.0,1,none,0,0,0,0.9264620000521973,36,31,36,36,16,13,1,0
diabetes,1,medium,PACER-C,442,10,10,31,0.07013574660633484,10,1.0,1,none,0,0,0,0.8880579998731264,36,31,36,36,16,13,1,0
diabetes,1,medium,PACER-X,442,10,10,31,0.07013574660633484,10,1.0,1,none,0,0,0,0.8218329999181151,36,31,36,36,16,13,1,0
diabetes,1,medium,StaleNoRecheck,442,10,10,31,0.07013574660633484,10,0.7,0,ranking_truncation,0,2,0,0.19734100010282418,218,12,218,218,0,8,0,0
diabetes,1,medium,NaiveNoPolicy,442,10,10,31,0.07013574660633484,10,0.1,0,ranking_truncation,9,0,4,0.08729399996809661,218,218,218,0,0,8,0,0
diabetes,2,narrow,ExactSecure,442,10,10,3,0.006787330316742082,3,1.0,1,none,0,0,0,0.2513850001832907,442,3,3,442,0,0,1,0
diabetes,2,narrow,PostFilter-IVF,442,10,10,3,0.006787330316742082,2,0.6666666666666666,0,candidate_starvation,0,0,0,0.19790600003943837,218,2,218,218,0,8,0,0
diabetes,2,narrow,AdaptivePostFilter-IVF,442,10,10,3,0.006787330316742082,3,1.0,1,none,0,0,0,0.8851790000790061,442,3,442,442,0,16,0,0
diabetes,2,narrow,TenantPartition-IVF,442,10,10,3,0.006787330316742082,2,0.6666666666666666,0,candidate_starvation,0,0,0,0.16539800003556593,218,2,218,218,0,8,0,0
diabetes,2,narrow,PreFilter-IVF,442,10,10,3,0.006787330316742082,3,1.0,1,none,0,0,0,0.2581379999355704,93,3,3,93,16,3,0,0
diabetes,2,narrow,PACER-A,442,10,10,3,0.006787330316742082,3,1.0,1,none,0,0,0,0.22320499988381926,3,3,3,3,9,3,1,0
diabetes,2,narrow,PACER-C,442,10,10,3,0.006787330316742082,3,1.0,1,none,0,0,0,0.23349699995378614,3,3,3,3,9,3,1,0
diabetes,2,narrow,PACER-X,442,10,10,3,0.006787330316742082,3,1.0,1,none,0,0,0,0.21915699994679017,3,3,3,3,9,3,1,0
diabetes,2,narrow,StaleNoRecheck,442,10,10,3,0.006787330316742082,2,0.6666666666666666,0,candidate_starvation,0,0,0,0.25635299994064553,218,2,218,218,0,8,0,0
diabetes,2,narrow,NaiveNoPolicy,442,10,10,3,0.006787330316742082,10,0.3333333333333333,0,ranking_truncation,9,0,8,0.07657500009372598,218,218,218,0,0,8,0,0
diabetes,3,cold,ExactSecure,442,10,10,2,0.004524886877828055,2,1.0,1,none,0,0,0,0.24045200007094536,442,2,2,442,0,0,1,0
diabetes,3,cold,PostFilter-IVF,442,10,10,2,0.004524886877828055,2,1.0,1,none,0,0,0,0.20662499991885852,220,2,220,220,0,8,0,0
diabetes,3,cold,AdaptivePostFilter-IVF,442,10,10,2,0.004524886877828055,2,1.0,1,none,0,0,0,0.7663619999220828,442,2,442,442,0,16,0,0
diabetes,3,cold,TenantPartition-IVF,442,10,10,2,0.004524886877828055,2,1.0,1,none,0,0,0,0.17995500002143672,220,2,220,220,0,8,0,0
diabetes,3,cold,PreFilter-IVF,442,10,10,2,0.004524886877828055,2,1.0,1,none,0,0,0,0.1546409998809395,27,2,2,27,16,1,0,0
diabetes,3,cold,PACER-A,442,10,10,2,0.004524886877828055,2,1.0,1,none,0,0,0,0.10111799997503113,2,2,2,2,4,1,1,0
diabetes,3,cold,PACER-C,442,10,10,2,0.004524886877828055,2,1.0,1,none,0,0,0,0.09030399996845517,2,2,2,2,4,1,1,0
diabetes,3,cold,PACER-X,442,10,10,2,0.004524886877828055,2,1.0,1,none,0,0,0,0.08786900002633047,2,2,2,2,4,1,1,0
diabetes,3,cold,StaleNoRecheck,442,10,10,2,0.004524886877828055,2,1.0,1,none,0,0,0,0.2067420000457787,220,2,220,220,0,8,0,0
diabetes,3,cold,NaiveNoPolicy,442,10,10,2,0.004524886877828055,10,0.5,0,ranking_truncation,9,2,2,0.08743500006858085,220,220,220,0,0,8,0,0
diabetes,4,broad,ExactSecure,442,10,10,415,0.9389140271493213,10,1.0,1,none,0,0,0,0.27355499992154364,442,415,415,442,0,0,1,0
diabetes,4,broad,PostFilter-IVF,442,10,10,415,0.9389140271493213,10,1.0,1,none,0,0,0,0.21423399994091596,220,207,220,220,0,8,0,0
diabetes,4,broad,AdaptivePostFilter-IVF,442,10,10,415,0.9389140271493213,10,1.0,1,none,0,0,0,0.7452190000094561,442,415,442,442,0,16,0,0
diabetes,4,broad,TenantPartition-IVF,442,10,10,415,0.9389140271493213,10,1.0,1,none,0,0,0,0.4011860000900924,220,207,220,220,0,8,0,0
diabetes,4,broad,PreFilter-IVF,442,10,10,415,0.9389140271493213,10,1.0,1,none,0,0,0,0.7178349999321654,235,222,222,235,8,8,0,0
diabetes,4,broad,PACER-A,442,10,10,415,0.9389140271493213,10,1.0,1,none,0,0,0,0.7805949999237782,220,207,220,220,8,8,0,0
diabetes,4,broad,PACER-C,442,10,10,415,0.9389140271493213,10,1.0,1,none,0,0,0,0.7246019999911368,235,222,235,235,8,8,1,0
diabetes,4,broad,PACER-X,442,10,10,415,0.9389140271493213,10,1.0,1,none,0,0,0,0.8148069998696883,235,222,235,235,8,8,1,0
diabetes,4,broad,StaleNoRecheck,442,10,10,415,0.9389140271493213,10,1.0,1,none,0,0,0,0.25955099999919184,220,220,220,220,0,8,0,0
diabetes,4,broad,NaiveNoPolicy,442,10,10,415,0.9389140271493213,10,1.0,1,none,0,0,0,0.09878399987428566,220,220,220,0,0,8,0,0
diabetes,5,medium,ExactSecure,442,10,10,44,0.09954751131221719,10,1.0,1,none,0,0,0,0.25584499985598086,442,44,44,442,0,0,1,0
