dataset,query_id,regime,method,n,dim,k,allowed_count,selectivity,returned,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,candidates,distance_evals,policy_checks,summary_checks,visited_cluster_count,certified,certificate_false_positive
wine,0,broad,ExactSecure,178,13,10,164,0.9213483146067416,10,1.0,1,none,0,0,0,0.12900000001536682,178,164,164,178,0,0,1,0
wine,0,broad,PostFilter-IVF,178,13,10,164,0.9213483146067416,10,1.0,1,none,0,0,0,0.14291499996943458,91,83,91,91,0,8,0,0
wine,0,broad,AdaptivePostFilter-IVF,178,13,10,164,0.9213483146067416,10,1.0,1,none,0,0,0,0.5302979998305091,178,164,178,178,0,12,0,0
wine,0,broad,TenantPartition-IVF,178,13,10,164,0.9213483146067416,10,1.0,1,none,0,0,0,0.1528579998648638,91,83,91,91,0,8,0,0
wine,0,broad,PreFilter-IVF,178,13,10,164,0.9213483146067416,10,1.0,1,none,0,0,0,1.4201449998836324,104,94,94,104,8,8,0,0
wine,0,broad,PACER-A,178,13,10,164,0.9213483146067416,10,1.0,1,none,0,0,0,0.720481000143991,104,94,104,104,8,8,1,0
wine,0,broad,PACER-C,178,13,10,164,0.9213483146067416,10,1.0,1,none,0,0,0,0.6291839999903459,104,94,104,104,8,8,1,0
wine,0,broad,PACER-X,178,13,10,164,0.9213483146067416,10,1.0,1,none,0,0,0,0.8552819999749772,104,94,104,104,8,8,1,0
wine,0,broad,StaleNoRecheck,178,13,10,164,0.9213483146067416,10,0.8,0,ranking_truncation,0,2,0,0.12557799982459983,91,91,91,91,0,8,0,0
wine,0,broad,NaiveNoPolicy,178,13,10,164,0.9213483146067416,10,0.8,0,ranking_truncation,0,2,0,0.08739400004742492,91,91,91,0,0,8,0,0
wine,1,medium,ExactSecure,178,13,10,50,0.2808988764044944,10,1.0,1,none,0,0,0,0.13135200015312876,178,50,50,178,0,0,1,0
wine,1,medium,PostFilter-IVF,178,13,10,50,0.2808988764044944,10,1.0,1,none,0,0,0,0.1398639999479201,110,32,110,110,0,8,0,0
wine,1,medium,AdaptivePostFilter-IVF,178,13,10,50,0.2808988764044944,10,1.0,1,none,0,0,0,0.5947689999175054,178,50,178,178,0,12,0,0
wine,1,medium,TenantPartition-IVF,178,13,10,50,0.2808988764044944,10,1.0,1,none,0,0,0,0.15191499983302492,110,32,110,110,0,8,0,0
wine,1,medium,PreFilter-IVF,178,13,10,50,0.2808988764044944,10,1.0,1,none,0,0,0,0.6526069998926687,119,42,42,119,11,8,0,0
wine,1,medium,PACER-A,178,13,10,50,0.2808988764044944,10,1.0,1,none,0,0,0,0.7585450000533456,45,41,45,45,10,7,1,0
wine,1,medium,PACER-C,178,13,10,50,0.2808988764044944,10,1.0,1,none,0,0,0,0.5790870000055293,45,41,45,45,10,7,1,0
wine,1,medium,PACER-X,178,13,10,50,0.2808988764044944,10,1.0,1,none,0,0,0,0.6055369999558025,45,41,45,45,10,7,1,0
wine,1,medium,StaleNoRecheck,178,13,10,50,0.2808988764044944,10,0.8,0,ranking_truncation,0,2,0,0.13909899985264929,110,36,110,110,0,8,0,0
wine,1,medium,NaiveNoPolicy,178,13,10,50,0.2808988764044944,10,0.4,0,ranking_truncation,5,1,0,0.042007000047306065,110,110,110,0,0,8,0,0
