method,failure_mode,fraction
AdaptivePostFilter-IVF,none,0.35
AdaptivePostFilter-IVF,candidate_starvation,0.36875
AdaptivePostFilter-IVF,ranking_truncation,0.28125
BitmapSlice-Exact,none,1.0
BitmapSlice-Exact,candidate_starvation,0.0
BitmapSlice-Exact,ranking_truncation,0.0
ExactPrefix-PostFilter,none,0.584375
ExactPrefix-PostFilter,candidate_starvation,0.415625
ExactPrefix-PostFilter,ranking_truncation,0.0
ExactSecure,none,1.0
ExactSecure,candidate_starvation,0.0
ExactSecure,ranking_truncation,0.0
NaiveNoPolicy,none,0.0
NaiveNoPolicy,candidate_starvation,0.0
NaiveNoPolicy,ranking_truncation,1.0
PACER-A,none,0.88125
PACER-A,candidate_starvation,0.0
PACER-A,ranking_truncation,0.11875
PACER-A-NoBounds,none,0.890625
PACER-A-NoBounds,candidate_starvation,0.0
PACER-A-NoBounds,ranking_truncation,0.109375
PACER-A-NoSlices,none,0.203125
PACER-A-NoSlices,candidate_starvation,0.4
PACER-A-NoSlices,ranking_truncation,0.396875
PACER-C,none,1.0
PACER-C,candidate_starvation,0.0
PACER-C,ranking_truncation,0.0
PACER-X,none,1.0
PACER-X,candidate_starvation,0.0
PACER-X,ranking_truncation,0.0
PostFilter-IVF,none,0.16875
PostFilter-IVF,candidate_starvation,0.409375
PostFilter-IVF,ranking_truncation,0.421875
PreFilter-Exact,none,1.0
PreFilter-Exact,candidate_starvation,0.0
PreFilter-Exact,ranking_truncation,0.0
PreFilter-IVF,none,0.578125
PreFilter-IVF,candidate_starvation,0.003125
PreFilter-IVF,ranking_truncation,0.41875
ScalarOnly,none,0.08125
ScalarOnly,candidate_starvation,0.0
ScalarOnly,ranking_truncation,0.91875
StaleNoRecheck,none,0.10625
StaleNoRecheck,candidate_starvation,0.39375
StaleNoRecheck,ranking_truncation,0.5
TenantPartition-IVF,none,0.16875
TenantPartition-IVF,candidate_starvation,0.409375
TenantPartition-IVF,ranking_truncation,0.421875
