query_id,method,recall_at_k,secure_topk_exact,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,policy_checks,certified
0,ExactSecure,1.0,1,0,0,0,6.825423000009323,12000,12000,1
0,BitmapSlice-Exact,1.0,1,0,0,0,0.19283599999653234,21,21,1
0,PostFilter-IVF,0.7,0,0,0,0,1.2306000000990025,1382,1382,0
0,PreFilter-IVF,1.0,1,0,0,0,75.61267599999155,1665,1665,0
0,PACER-A,1.0,1,0,0,0,1.2890499999684835,21,21,1
0,PACER-X,1.0,1,0,0,0,1.2005549999685172,21,21,1
1,ExactSecure,1.0,1,0,0,0,7.163198999933229,12000,12000,1
1,BitmapSlice-Exact,1.0,1,0,0,0,0.1901589998851705,25,25,1
1,PostFilter-IVF,0.6,0,0,0,0,1.3146349999715312,1647,1647,0
1,PreFilter-IVF,0.8,0,0,0,0,42.95892400000412,1860,1860,0
1,PACER-A,1.0,1,0,0,0,2.0157890000973566,25,25,1
1,PACER-X,1.0,1,0,0,0,1.797573999965607,25,25,1
2,ExactSecure,1.0,1,0,0,0,6.45787600001313,12000,12000,1
2,BitmapSlice-Exact,1.0,1,0,0,0,0.23493599996982084,53,53,1
2,PostFilter-IVF,0.7,0,0,0,0,1.3957410001239623,1676,1676,0
2,PreFilter-IVF,0.9,0,0,0,0,38.05583200005458,1639,1639,0
2,PACER-A,1.0,1,0,0,0,2.6265270000749297,53,53,1
2,PACER-X,1.0,1,0,0,0,2.312038000127359,53,53,1
3,ExactSecure,1.0,1,0,0,0,11.936409000099957,12000,12000,1
3,BitmapSlice-Exact,1.0,1,0,0,0,0.34379600015199685,45,45,1
3,PostFilter-IVF,0.2,0,0,0,0,2.907377000155975,1800,1800,0
3,PreFilter-IVF,0.8,0,0,0,0,38.88742200001616,1849,1849,0
3,PACER-A,1.0,1,0,0,0,2.0326379999460187,45,45,1
3,PACER-X,1.0,1,0,0,0,1.8723799998952018,45,45,1
4,ExactSecure,1.0,1,0,0,0,7.0056550000572315,12000,12000,1
4,BitmapSlice-Exact,1.0,1,0,0,0,0.2036360001511639,36,36,1
4,PostFilter-IVF,0.8,0,0,0,0,1.3265190000311122,1379,1379,0
4,PreFilter-IVF,1.0,1,0,0,0,65.37767700001496,1634,1634,0
4,PACER-A,1.0,1,0,0,0,2.344852999840441,36,36,1
4,PACER-X,1.0,1,0,0,0,2.3635229999854346,36,36,1
5,ExactSecure,1.0,1,0,0,0,6.566395999925589,12000,12000,1
5,BitmapSlice-Exact,1.0,1,0,0,0,0.21593600013147807,41,41,1
5,PostFilter-IVF,0.4,0,0,0,0,1.1648739998690871,1428,1428,0
5,PreFilter-IVF,0.8,0,0,0,0,27.51997400014261,1349,1349,0
5,PACER-A,1.0,1,0,0,0,2.240417999928468,41,41,1
5,PACER-X,1.0,1,0,0,0,1.937132999955793,41,41,1
6,ExactSecure,1.0,1,0,0,0,7.541819999914878,12000,12000,1
6,BitmapSlice-Exact,1.0,1,0,0,0,0.20440499997675943,35,35,1
6,PostFilter-IVF,0.5,0,0,0,0,1.5560429999368353,1477,1477,0
6,PreFilter-IVF,0.8,0,0,0,0,25.371334000055867,1328,1328,0
6,PACER-A,1.0,1,0,0,0,2.5904039998749795,35,35,1
6,PACER-X,1.0,1,0,0,0,2.041916000052879,35,35,1
7,ExactSecure,1.0,1,0,0,0,7.840208000061466,12000,12000,1
7,BitmapSlice-Exact,1.0,1,0,0,0,0.5279120000523108,92,92,1
7,PostFilter-IVF,0.3,0,0,0,0,1.2180850001186627,1373,1373,0
7,PreFilter-IVF,0.7,0,0,0,0,43.29043799998544,1565,1565,0
7,PACER-A,1.0,1,0,0,0,4.072939000025144,92,92,1
7,PACER-X,1.0,1,0,0,0,3.72396799980379,92,92,1
8,ExactSecure,1.0,1,0,0,0,7.650560999991285,12000,12000,1
8,BitmapSlice-Exact,1.0,1,0,0,0,0.21662600011040922,24,24,1
8,PostFilter-IVF,0.3,0,0,0,0,1.4903590001722478,1470,1470,0
8,PreFilter-IVF,0.8,0,0,0,0,46.194253000066965,1811,1811,0
8,PACER-A,1.0,1,0,0,0,1.74335500014422,24,24,1
8,PACER-X,1.0,1,0,0,0,1.5230510000492359,24,24,1
9,ExactSecure,1.0,1,0,0,0,6.735854999988078,12000,12000,1
9,BitmapSlice-Exact,1.0,1,0,0,0,0.19505000000208383,35,35,1
9,PostFilter-IVF,0.4,0,0,0,0,1.4217800001006253,1660,1660,0
9,PreFilter-IVF,0.8,0,0,0,0,16.798560000097496,1904,1904,0
9,PACER-A,1.0,1,0,0,0,2.165941999919596,35,35,1
9,PACER-X,1.0,1,0,0,0,2.538737999884688,35,35,1
10,ExactSecure,1.0,1,0,0,0,7.902396999952543,12000,12000,1
10,BitmapSlice-Exact,1.0,1,0,0,0,0.2630129999943165,38,38,1
10,PostFilter-IVF,0.4,0,0,0,0,1.63574500015784,1477,1477,0
10,PreFilter-IVF,0.9,0,0,0,0,31.878904999985025,1723,1723,0
10,PACER-A,1.0,1,0,0,0,1.7980180000449764,38,38,1
10,PACER-X,1.0,1,0,0,0,1.6074200000275596,38,38,1
11,ExactSecure,1.0,1,0,0,0,7.1380539998244785,12000,12000,1
11,BitmapSlice-Exact,1.0,1,0,0,0,0.3547939998043148,74,74,1
11,PostFilter-IVF,0.2,0,0,0,0,1.602000000048065,1664,1664,0
11,PreFilter-IVF,0.7,0,0,0,0,34.41136900005404,1790,1790,0
11,PACER-A,1.0,1,0,0,0,3.6381979998623137,74,74,1
11,PACER-X,1.0,1,0,0,0,3.093184000135807,74,74,1
12,ExactSecure,1.0,1,0,0,0,7.922517999986667,12000,12000,1
12,BitmapSlice-Exact,1.0,1,0,0,0,0.24666300009812403,30,30,1
12,PostFilter-IVF,0.4,0,0,0,0,1.3195729998187744,1393,1393,0
12,PreFilter-IVF,1.0,1,0,0,0,35.14812000003076,1661,1661,0
12,PACER-A,1.0,1,0,0,0,1.7936980000285985,30,30,1
12,PACER-X,1.0,1,0,0,0,1.63943500001551,30,30,1
13,ExactSecure,1.0,1,0,0,0,6.624711000085881,12000,12000,1
13,BitmapSlice-Exact,1.0,1,0,0,0,0.3528469999309891,46,46,1
13,PostFilter-IVF,0.2,0,0,0,0,1.4040969999769004,1629,1629,0
13,PreFilter-IVF,0.6,0,0,0,0,30.147983000006207,1591,1591,0
13,PACER-A,1.0,1,0,0,0,2.7181959999325045,46,46,1
13,PACER-X,1.0,1,0,0,0,2.6793350000389182,46,46,1
14,ExactSecure,1.0,1,0,0,0,7.65070299985382,12000,12000,1
14,BitmapSlice-Exact,1.0,1,0,0,0,0.23608699984833947,34,34,1
14,PostFilter-IVF,0.4,0,0,0,0,1.4044409999769414,1488,1488,0
14,PreFilter-IVF,0.9,0,0,0,0,28.27646800005823,1802,1802,0
14,PACER-A,1.0,1,0,0,0,1.6705210000509396,34,34,1
14,PACER-X,1.0,1,0,0,0,1.5772350000133883,34,34,1
15,ExactSecure,1.0,1,0,0,0,8.70192299998962,12000,12000,1
15,BitmapSlice-Exact,1.0,1,0,0,0,0.28612099981728534,37,37,1
15,PostFilter-IVF,0.1,0,0,0,0,1.8026409998128656,1349,1349,0
15,PreFilter-IVF,0.7,0,0,0,0,36.70121499999368,1835,1835,0
15,PACER-A,1.0,1,0,0,0,1.6800140001578256,37,37,1
15,PACER-X,1.0,1,0,0,0,1.7623960000037187,37,37,1
16,ExactSecure,1.0,1,0,0,0,6.503352999970957,12000,12000,1
16,BitmapSlice-Exact,1.0,1,0,0,0,0.18850900005418225,34,34,1
16,PostFilter-IVF,0.3,0,0,0,0,1.4032669998869096,1700,1700,0
16,PreFilter-IVF,1.0,1,0,0,0,29.96869499997956,1406,1406,0
16,PACER-A,1.0,1,0,0,0,1.7661170002156723,34,34,1
16,PACER-X,1.0,1,0,0,0,1.6278309999506746,34,34,1
17,ExactSecure,1.0,1,0,0,0,10.906129999966652,12000,12000,1
17,BitmapSlice-Exact,1.0,1,0,0,0,0.15535800002908218,16,16,1
17,PostFilter-IVF,0.4,0,0,0,0,1.159996000069441,1475,1475,0
17,PreFilter-IVF,1.0,1,0,0,0,56.74844300006043,1758,1758,0
17,PACER-A,1.0,1,0,0,0,1.1382970001250214,16,16,1
17,PACER-X,1.0,1,0,0,0,0.9234960000412684,16,16,1
18,ExactSecure,1.0,1,0,0,0,6.528069000069081,12000,12000,1
18,BitmapSlice-Exact,1.0,1,0,0,0,0.17329400020571484,25,25,1
18,PostFilter-IVF,0.6,0,0,0,0,1.2349460000677936,1494,1494,0
18,PreFilter-IVF,0.7,0,0,0,0,50.85218299996086,1783,1783,0
18,PACER-A,1.0,1,0,0,0,1.7060480001873657,25,25,1
18,PACER-X,1.0,1,0,0,0,1.4360789998590917,25,25,1
19,ExactSecure,1.0,1,0,0,0,6.494755000176156,12000,12000,1
19,BitmapSlice-Exact,1.0,1,0,0,0,0.300843999866629,58,58,1
19,PostFilter-IVF,0.2,0,0,0,0,1.4500219999717956,1774,1774,0
19,PreFilter-IVF,0.4,0,0,0,0,34.49299399994743,1589,1589,0
19,PACER-A,1.0,1,0,0,0,2.1548479999182746,58,58,1
19,PACER-X,1.0,1,0,0,0,2.0868230001269694,58,58,1
20,ExactSecure,1.0,1,0,0,0,11.413461000074676,12000,12000,1
20,BitmapSlice-Exact,1.0,1,0,0,0,0.2751979998265597,31,31,1
20,PostFilter-IVF,0.5,0,0,0,0,1.9340329999977257,1324,1324,0
20,PreFilter-IVF,0.9,0,0,0,0,30.637685999863606,1443,1443,0
20,PACER-A,1.0,1,0,0,0,2.1193979998770374,31,31,1
20,PACER-X,1.0,1,0,0,0,1.6770080001151655,31,31,1
21,ExactSecure,1.0,1,0,0,0,7.232189999967886,12000,12000,1
21,BitmapSlice-Exact,1.0,1,0,0,0,0.29095900003994757,44,44,1
21,PostFilter-IVF,0.4,0,0,0,0,1.8314569999802188,1800,1800,0
21,PreFilter-IVF,0.9,0,0,0,0,71.16657899996426,1844,1844,0
21,PACER-A,1.0,1,0,0,0,2.2779590001391625,44,44,1
21,PACER-X,1.0,1,0,0,0,1.606940000101531,44,44,1
22,ExactSecure,1.0,1,0,0,0,11.371664000080273,12000,12000,1
22,BitmapSlice-Exact,1.0,1,0,0,0,0.2570270000887831,63,63,1
22,PostFilter-IVF,0.8,0,0,0,0,1.4201540000158275,1493,1493,0
22,PreFilter-IVF,1.0,1,0,0,0,27.708458999995855,1799,1799,0
22,PACER-A,1.0,1,0,0,0,2.03303400007826,63,63,1
22,PACER-X,1.0,1,0,0,0,2.916476000109469,63,63,1
23,ExactSecure,1.0,1,0,0,0,7.816065000042727,12000,12000,1
