query_id,method,n,recall_at_k,ordered_exact_secure_topk,failure_mode,policy_violations,deleted_violations,tenant_violations,latency_ms,raw_candidates,distance_evals,policy_checks,summary_checks,visited_cluster_count,certified,certificate_gap
0,ExactSecure,60000,1.0,1,none,0,0,0,42.0786979998411,60000,13536,60000,0,0,1,0.0
0,PostFilter-IVF,60000,0.9,0,ranking_truncation,0,0,0,3.2463769998685166,2400,2400,2400,0,12,0,0.0
0,PreFilter-IVF,60000,0.2,0,ranking_truncation,0,0,0,2.9424479998851893,2673,401,2673,6,6,0,0.0
0,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,98.4848839998449,15078,13536,15078,0,0,1,0.0
0,PACER-A,60000,0.9,0,ranking_truncation,0,0,0,20.99389600016366,2400,2400,2400,16,16,0,0.6050986051559448
0,PACER-C,60000,1.0,1,none,0,0,0,125.23039699999572,15078,15078,15078,96,96,1,0.0
0,PACER-X,60000,1.0,1,none,0,0,0,117.46836399970562,15078,15078,15078,96,96,1,0.0
1,ExactSecure,60000,1.0,1,none,0,0,0,38.312199000301916,60000,292,60000,0,0,1,0.0
1,PostFilter-IVF,60000,0.9,0,ranking_truncation,0,0,0,2.831101999618113,2400,2400,2400,0,12,0,0.0
1,PreFilter-IVF,60000,0.9,0,ranking_truncation,0,0,0,1.9874499998877582,2616,57,2616,4,4,0,0.0
1,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,1.8890900000769761,332,292,332,0,0,1,0.0
1,PACER-A,60000,1.0,1,none,0,0,0,6.816884000272694,332,332,332,96,63,1,0.0
1,PACER-C,60000,1.0,1,none,0,0,0,6.644914999924367,332,332,332,96,63,1,0.0
1,PACER-X,60000,1.0,1,none,0,0,0,6.56600399997842,332,332,332,96,63,1,0.0
2,ExactSecure,60000,1.0,1,none,0,0,0,35.172281000086514,60000,15,60000,0,0,1,0.0
2,PostFilter-IVF,60000,0.5,0,candidate_starvation,0,0,0,3.386542000043846,2400,2400,2400,0,12,0,0.0
2,PreFilter-IVF,60000,0.7,0,candidate_starvation,0,0,0,2.614656999867293,2554,9,2554,16,4,0,0.0
2,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,0.324407999869436,19,15,19,0,0,1,0.0
2,PACER-A,60000,1.0,1,none,0,0,0,1.7982860003940004,19,19,19,95,9,1,0.0
2,PACER-C,60000,1.0,1,none,0,0,0,1.513326999884157,19,19,19,95,9,1,0.0
2,PACER-X,60000,1.0,1,none,0,0,0,1.386893000017153,19,19,19,95,9,1,0.0
3,ExactSecure,60000,1.0,1,none,0,0,0,32.556653000028746,60000,21,60000,0,0,1,0.0
3,PostFilter-IVF,60000,0.6,0,candidate_starvation,0,0,0,3.461564999724942,2400,2400,2400,0,12,0,0.0
3,PreFilter-IVF,60000,1.0,1,none,0,0,0,3.5409179999987828,2453,21,2453,69,3,0,0.0
3,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,1.8194580002273142,22,21,22,0,0,1,0.0
3,PACER-A,60000,1.0,1,none,0,0,0,1.2332549999882758,22,22,22,69,3,1,0.0
3,PACER-C,60000,1.0,1,none,0,0,0,1.1746360000870482,22,22,22,69,3,1,0.0
3,PACER-X,60000,1.0,1,none,0,0,0,0.838476000353694,22,22,22,69,3,1,0.0
4,ExactSecure,60000,1.0,1,none,0,0,0,40.7735019998654,60000,13379,60000,0,0,1,0.0
4,PostFilter-IVF,60000,0.8,0,ranking_truncation,0,0,0,3.7785290001011163,2400,2400,2400,0,12,0,0.0
4,PreFilter-IVF,60000,0.4,0,ranking_truncation,0,0,0,5.598579999968933,2979,801,2979,5,5,0,0.0
4,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,137.71241700032988,15007,13379,15007,0,0,1,0.0
4,PACER-A,60000,0.9,0,ranking_truncation,0,0,0,18.932752000182518,2400,2400,2400,14,14,0,0.6041547060012817
4,PACER-C,60000,1.0,1,none,0,0,0,115.0131379999948,15007,15007,15007,96,96,1,0.0
4,PACER-X,60000,1.0,1,none,0,0,0,109.42327000020668,15007,15007,15007,96,96,1,0.0
5,ExactSecure,60000,1.0,1,none,0,0,0,34.830641000098694,60000,253,60000,0,0,1,0.0
5,PostFilter-IVF,60000,0.5,0,ranking_truncation,0,0,0,2.7286619997539674,2400,2400,2400,0,12,0,0.0
5,PreFilter-IVF,60000,0.4,0,ranking_truncation,0,0,0,2.3854609999034437,2412,19,2412,6,5,0,0.0
5,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,3.1701160000920936,270,253,270,0,0,1,0.0
5,PACER-A,60000,1.0,1,none,0,0,0,9.727579000355036,270,270,270,96,70,1,0.0
5,PACER-C,60000,1.0,1,none,0,0,0,6.751179000275442,270,270,270,96,70,1,0.0
5,PACER-X,60000,1.0,1,none,0,0,0,6.636194000293472,270,270,270,96,70,1,0.0
6,ExactSecure,60000,1.0,1,none,0,0,0,32.74706199999855,60000,4,60000,0,0,1,0.0
6,PostFilter-IVF,60000,0.25,0,candidate_starvation,0,0,0,3.389486999822111,2400,2400,2400,0,12,0,0.0
6,PreFilter-IVF,60000,1.0,1,none,0,0,0,3.6839959998360428,2259,4,2259,96,3,0,0.0
6,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,0.11135899967484875,4,4,4,0,0,1,0.0
6,PACER-A,60000,1.0,1,none,0,0,0,0.7077599998410733,4,4,4,88,3,1,0.0
6,PACER-C,60000,1.0,1,none,0,0,0,0.5174789998818596,4,4,4,88,3,1,0.0
6,PACER-X,60000,1.0,1,none,0,0,0,0.4883419996986049,4,4,4,88,3,1,0.0
7,ExactSecure,60000,1.0,1,none,0,0,0,37.968423000165785,60000,13,60000,0,0,1,0.0
7,PostFilter-IVF,60000,0.2,0,candidate_starvation,0,0,0,3.991702999883273,2400,2400,2400,0,12,0,0.0
7,PreFilter-IVF,60000,1.0,1,none,0,0,0,3.4190139999736857,2682,12,2682,56,4,0,0.0
7,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,0.23155600001700805,13,13,13,0,0,1,0.0
7,PACER-A,60000,1.0,1,none,0,0,0,1.2256790000719775,13,13,13,82,5,1,0.0
7,PACER-C,60000,1.0,1,none,0,0,0,1.2833569999202155,13,13,13,82,5,1,0.0
7,PACER-X,60000,1.0,1,none,0,0,0,1.37457800019547,13,13,13,82,5,1,0.0
8,ExactSecure,60000,1.0,1,none,0,0,0,35.38880700034497,60000,13476,60000,0,0,1,0.0
8,PostFilter-IVF,60000,0.8,0,ranking_truncation,0,0,0,2.995282000028965,2400,2400,2400,0,12,0,0.0
8,PreFilter-IVF,60000,0.4,0,ranking_truncation,0,0,0,2.385839999988093,2984,677,2984,5,5,0,0.0
8,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,95.35772500021267,14743,13476,14743,0,0,1,0.0
8,PACER-A,60000,0.8,0,ranking_truncation,0,0,0,17.334848000245984,2400,2400,2400,16,16,0,0.6126754581928253
8,PACER-C,60000,1.0,1,none,0,0,0,101.4237399999729,14743,14743,14743,96,96,1,0.0
8,PACER-X,60000,1.0,1,none,0,0,0,106.02306500004488,14743,14743,14743,96,96,1,0.0
9,ExactSecure,60000,1.0,1,none,0,0,0,32.349671000247326,60000,345,60000,0,0,1,0.0
9,PostFilter-IVF,60000,0.4,0,candidate_starvation,0,0,0,3.467171000011149,2400,2400,2400,0,12,0,0.0
9,PreFilter-IVF,60000,0.3,0,ranking_truncation,0,0,0,2.875311000025249,3212,16,3212,8,5,0,0.0
9,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,2.2541500002262183,361,345,361,0,0,1,0.0
9,PACER-A,60000,1.0,1,none,0,0,0,7.444124999892665,361,361,361,94,66,1,0.0
9,PACER-C,60000,1.0,1,none,0,0,0,9.562866999658581,361,361,361,94,66,1,0.0
9,PACER-X,60000,1.0,1,none,0,0,0,8.143938000102935,361,361,361,94,66,1,0.0
10,ExactSecure,60000,1.0,1,none,0,0,0,59.98920599995472,60000,17,60000,0,0,1,0.0
10,PostFilter-IVF,60000,0.1,0,candidate_starvation,0,0,0,5.208348999985901,2400,2400,2400,0,12,0,0.0
10,PreFilter-IVF,60000,0.6,0,candidate_starvation,0,0,0,4.658135000227048,3189,8,3189,33,4,0,0.0
10,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,0.43314300000929506,19,17,19,0,0,1,0.0
10,PACER-A,60000,1.0,1,none,0,0,0,2.2367149999809044,19,19,19,92,11,1,0.0
10,PACER-C,60000,1.0,1,none,0,0,0,2.0978530001229956,19,19,19,92,11,1,0.0
10,PACER-X,60000,1.0,1,none,0,0,0,1.999820000037289,19,19,19,92,11,1,0.0
11,ExactSecure,60000,1.0,1,none,0,0,0,31.006337000235362,60000,10,60000,0,0,1,0.0
11,PostFilter-IVF,60000,0.3,0,candidate_starvation,0,0,0,2.948302999811858,2400,2400,2400,0,12,0,0.0
11,PreFilter-IVF,60000,1.0,1,none,0,0,0,2.4729249998927116,2095,10,2095,96,3,0,0.0
11,BitmapSlice-Exact,60000,1.0,1,none,0,0,0,0.18194399990534293,11,10,11,0,0,1,0.0
11,PACER-A,60000,1.0,1,none,0,0,0,0.6885859997964872,11,11,11,63,3,1,0.0
11,PACER-C,60000,1.0,1,none,0,0,0,0.6518730001516815,11,11,11,63,3,1,0.0
11,PACER-X,60000,1.0,1,none,0,0,0,0.6235070000002452,11,11,11,63,3,1,0.0
