seed,method,queries,recall_at_k,secure_topk_exact,latency_ms,policy_violation_per_query,certified_fraction,certificate_errors
11,PostFilter-IVF,80,0.6855902777777778,0.225,1.1743819875164263,0.0,0.0,0.0
11,PreFilter-IVF,80,0.89625,0.6,1.2173077000227295,0.0,0.0,0.0
11,PACER-A,80,0.9899999999999999,0.925,2.2816292749951117,0.0,0.75,0.0
11,PACER-C,80,1.0,1.0,3.894293375020652,0.0,1.0,0.0
11,PACER-X,80,1.0,1.0,3.8890790500033745,0.0,1.0,0.0
23,PostFilter-IVF,80,0.6786458333333334,0.225,1.163492375030728,0.0,0.0,0.0
23,PreFilter-IVF,80,0.86875,0.5625,1.173967587521929,0.0,0.0,0.0
23,PACER-A,80,0.9824999999999999,0.8875,2.2313333500108,0.0,0.75,0.0
23,PACER-C,80,1.0,1.0,3.825590237477172,0.0,1.0,0.0
23,PACER-X,80,1.0,1.0,3.9069099250014006,0.0,1.0,0.0
37,PostFilter-IVF,80,0.6756249999999999,0.25,1.190990337505582,0.0,0.0,0.0
37,PreFilter-IVF,80,0.8850000000000001,0.6,1.1505121249570038,0.0,0.0,0.0
37,PACER-A,80,0.9925,0.925,2.41380759998151,0.0,0.75,0.0
37,PACER-C,80,1.0,1.0,4.074464700033786,0.0,1.0,0.0
37,PACER-X,80,1.0,1.0,3.9821704624671383,0.0,1.0,0.0
