method,metric,mean,std,min,max
PostFilter-IVF,recall_at_k,0.6799537037037037,0.005109753807801107,0.6756249999999999,0.6855902777777778
PostFilter-IVF,secure_topk_exact,0.2333333333333333,0.014433756729740642,0.225,0.25
PostFilter-IVF,latency_ms,1.1762882333509121,0.01384773681701235,1.163492375030728,1.190990337505582
PostFilter-IVF,policy_violation_per_query,0.0,0.0,0.0,0.0
PostFilter-IVF,certified_fraction,0.0,0.0,0.0,0.0
PostFilter-IVF,certificate_errors,0.0,0.0,0.0,0.0
PreFilter-IVF,recall_at_k,0.8833333333333334,0.01382555001919754,0.86875,0.89625
PreFilter-IVF,secure_topk_exact,0.5875,0.021650635094610952,0.5625,0.6
PreFilter-IVF,latency_ms,1.1805958041672209,0.03388749258964049,1.1505121249570038,1.2173077000227295
PreFilter-IVF,policy_violation_per_query,0.0,0.0,0.0,0.0
PreFilter-IVF,certified_fraction,0.0,0.0,0.0,0.0
PreFilter-IVF,certificate_errors,0.0,0.0,0.0,0.0
PACER-A,recall_at_k,0.9883333333333333,0.0052041649986653725,0.9824999999999999,0.9925
PACER-A,secure_topk_exact,0.9125,0.02165063509461102,0.8875,0.925
PACER-A,latency_ms,2.308923408329141,0.09424935151731864,2.2313333500108,2.41380759998151
PACER-A,policy_violation_per_query,0.0,0.0,0.0,0.0
PACER-A,certified_fraction,0.75,0.0,0.75,0.75
PACER-A,certificate_errors,0.0,0.0,0.0,0.0
PACER-C,recall_at_k,1.0,0.0,1.0,1.0
PACER-C,secure_topk_exact,1.0,0.0,1.0,1.0
PACER-C,latency_ms,3.931449437510537,0.12853036319494726,3.825590237477172,4.074464700033786
PACER-C,policy_violation_per_query,0.0,0.0,0.0,0.0
PACER-C,certified_fraction,1.0,0.0,1.0,1.0
PACER-C,certificate_errors,0.0,0.0,0.0,0.0
PACER-X,recall_at_k,1.0,0.0,1.0,1.0
PACER-X,secure_topk_exact,1.0,0.0,1.0,1.0
PACER-X,latency_ms,3.926053145823971,0.04941001868266118,3.8890790500033745,3.9821704624671383
PACER-X,policy_violation_per_query,0.0,0.0,0.0,0.0
PACER-X,certified_fraction,1.0,0.0,1.0,1.0
PACER-X,certificate_errors,0.0,0.0,0.0,0.0
