query_id,regime,correlation,method,budget,recall_at_k,secure_topk_exact,latency_ms,candidates,raw_candidates,distance_evals,policy_checks,policy_violations,deleted_violations,tenant_violations,certified
0,broad,positive,PostFilter-IVF,150,1.0,1,0.6171110003378999,75,150,150,150,0,0,0,0
0,broad,positive,AdaptivePostFilter-IVF,150,0.5,0,0.20062000021425774,97,150,150,150,0,0,0,0
0,broad,positive,PACER-A,150,0.7,0,1.0210930004177499,144,150,150,150,0,0,0,0
1,medium,positive,PostFilter-IVF,150,0.3,0,0.3770640000766434,3,150,150,150,0,0,0,0
1,medium,positive,AdaptivePostFilter-IVF,150,0.2,0,0.1726030000099854,2,150,150,150,0,0,0,0
1,medium,positive,PACER-A,150,1.0,1,2.6596390002850967,135,150,150,150,0,0,0,0
2,narrow,positive,PostFilter-IVF,150,0.2,0,0.31438899986824254,1,150,150,150,0,0,0,0
2,narrow,positive,AdaptivePostFilter-IVF,150,0.2,0,0.16124900002978393,1,150,150,150,0,0,0,0
2,narrow,positive,PACER-A,150,1.0,1,0.3739270000551187,5,5,5,5,0,0,0,1
3,cold,positive,PostFilter-IVF,150,1.0,1,0.2930639998339757,1,150,150,150,0,0,0,0
3,cold,positive,AdaptivePostFilter-IVF,150,0.0,0,0.18544400018072338,0,150,150,150,0,0,0,0
3,cold,positive,PACER-A,150,1.0,1,0.13788800015390734,1,1,1,1,0,0,0,1
4,broad,positive,PostFilter-IVF,150,0.8,0,0.3704499999912514,86,150,150,150,0,0,0,0
4,broad,positive,AdaptivePostFilter-IVF,150,0.5,0,0.180120000095485,93,150,150,150,0,0,0,0
4,broad,positive,PACER-A,150,0.5,0,0.5190599999878032,138,150,150,150,0,0,0,0
5,medium,positive,PostFilter-IVF,150,0.7,0,0.34105599979739054,8,150,150,150,0,0,0,0
5,medium,positive,AdaptivePostFilter-IVF,150,0.5,0,0.20849199972872157,15,150,150,150,0,0,0,0
5,medium,positive,PACER-A,150,0.9,0,1.7668720001893234,136,150,150,150,0,0,0,0
6,narrow,positive,PostFilter-IVF,150,0.25,0,0.2675569999155414,2,150,150,150,0,0,0,0
6,narrow,positive,AdaptivePostFilter-IVF,150,0.125,0,0.15007400043032249,1,150,150,150,0,0,0,0
6,narrow,positive,PACER-A,150,1.0,1,0.4731779999929131,8,8,8,8,0,0,0,1
