method,failure_mode,fraction
AdaptivePostFilter-IVF,none,0.65
AdaptivePostFilter-IVF,candidate_starvation,0.25
AdaptivePostFilter-IVF,ranking_truncation,0.1
BitmapSlice-Exact,none,1.0
BitmapSlice-Exact,candidate_starvation,0.0
BitmapSlice-Exact,ranking_truncation,0.0
ExactPrefix-PostFilter,none,0.6125
ExactPrefix-PostFilter,candidate_starvation,0.3875
ExactPrefix-PostFilter,ranking_truncation,0.0
ExactSecure,none,1.0
ExactSecure,candidate_starvation,0.0
ExactSecure,ranking_truncation,0.0
NaiveNoPolicy,none,0.0
NaiveNoPolicy,candidate_starvation,0.0
NaiveNoPolicy,ranking_truncation,1.0
PACER-A,none,0.925
PACER-A,candidate_starvation,0.0
PACER-A,ranking_truncation,0.075
PACER-A-NoBounds,none,0.9375
PACER-A-NoBounds,candidate_starvation,0.0
PACER-A-NoBounds,ranking_truncation,0.0625
PACER-A-NoSlices,none,0.275
PACER-A-NoSlices,candidate_starvation,0.375
PACER-A-NoSlices,ranking_truncation,0.35
PACER-C,none,1.0
PACER-C,candidate_starvation,0.0
PACER-C,ranking_truncation,0.0
PACER-X,none,1.0
PACER-X,candidate_starvation,0.0
PACER-X,ranking_truncation,0.0
PostFilter-IVF,none,0.25
PostFilter-IVF,candidate_starvation,0.375
PostFilter-IVF,ranking_truncation,0.375
PreFilter-Exact,none,1.0
PreFilter-Exact,candidate_starvation,0.0
PreFilter-Exact,ranking_truncation,0.0
PreFilter-IVF,none,0.6
PreFilter-IVF,candidate_starvation,0.0
PreFilter-IVF,ranking_truncation,0.4
ScalarOnly,none,0.1125
ScalarOnly,candidate_starvation,0.0
ScalarOnly,ranking_truncation,0.8875
StaleNoRecheck,none,0.2125
StaleNoRecheck,candidate_starvation,0.3375
StaleNoRecheck,ranking_truncation,0.45
TenantPartition-IVF,none,0.25
TenantPartition-IVF,candidate_starvation,0.375
TenantPartition-IVF,ranking_truncation,0.375
