query_id,method,same_ids_after_list_shuffle,ordered_exact_original,ordered_exact_shuffled,raw_candidates_original,raw_candidates_shuffled
0,PostFilter-IVF,1,1,1,1198,1198
0,PACER-A,1,1,1,1600,1600
0,PACER-X,1,1,1,4496,4496
1,PostFilter-IVF,1,0,0,1087,1087
1,PACER-A,1,1,1,189,189
1,PACER-X,1,1,1,189,189
2,PostFilter-IVF,1,0,0,1023,1023
2,PACER-A,1,1,1,9,9
2,PACER-X,1,1,1,9,9
3,PostFilter-IVF,1,1,1,1050,1050
3,PACER-A,1,1,1,2,2
3,PACER-X,1,1,1,2,2
4,PostFilter-IVF,1,0,0,1378,1378
4,PACER-A,1,1,1,1600,1600
4,PACER-X,1,1,1,4391,4391
5,PostFilter-IVF,1,0,0,1243,1243
5,PACER-A,1,1,1,260,260
5,PACER-X,1,1,1,260,260
6,PostFilter-IVF,1,0,0,1354,1354
6,PACER-A,1,1,1,4,4
6,PACER-X,1,1,1,4,4
7,PostFilter-IVF,1,1,1,1113,1113
7,PACER-A,1,1,1,9,9
7,PACER-X,1,1,1,9,9
8,PostFilter-IVF,1,0,0,1109,1109
8,PACER-A,1,0,0,1600,1600
8,PACER-X,1,1,1,4318,4318
9,PostFilter-IVF,1,0,0,1159,1159
9,PACER-A,1,1,1,232,232
9,PACER-X,1,1,1,232,232
10,PostFilter-IVF,1,0,0,942,942
10,PACER-A,1,1,1,8,8
10,PACER-X,1,1,1,8,8
11,PostFilter-IVF,1,1,1,912,912
11,PACER-A,1,1,1,3,3
11,PACER-X,1,1,1,3,3
12,PostFilter-IVF,1,0,0,1219,1219
12,PACER-A,1,0,0,1600,1600
12,PACER-X,1,1,1,4462,4462
13,PostFilter-IVF,1,0,0,876,876
13,PACER-A,1,1,1,235,235
13,PACER-X,1,1,1,235,235
14,PostFilter-IVF,1,0,0,1328,1328
14,PACER-A,1,1,1,3,3
14,PACER-X,1,1,1,3,3
15,PostFilter-IVF,1,0,0,1379,1379
15,PACER-A,1,1,1,4,4
15,PACER-X,1,1,1,4,4
16,PostFilter-IVF,1,0,0,1212,1212
16,PACER-A,1,0,0,1600,1600
16,PACER-X,1,1,1,4362,4362
17,PostFilter-IVF,1,0,0,1169,1169
17,PACER-A,1,1,1,217,217
17,PACER-X,1,1,1,217,217
18,PostFilter-IVF,1,0,0,1184,1184
18,PACER-A,1,1,1,8,8
18,PACER-X,1,1,1,8,8
19,PostFilter-IVF,1,0,0,1236,1236
19,PACER-A,1,1,1,3,3
19,PACER-X,1,1,1,3,3
20,PostFilter-IVF,1,0,0,1141,1141
20,PACER-A,1,1,1,1600,1600
20,PACER-X,1,1,1,4700,4700
21,PostFilter-IVF,1,0,0,892,892
21,PACER-A,1,1,1,249,249
21,PACER-X,1,1,1,249,249
22,PostFilter-IVF,1,0,0,1325,1325
22,PACER-A,1,1,1,6,6
22,PACER-X,1,1,1,6,6
23,PostFilter-IVF,1,0,0,1022,1022
23,PACER-A,1,1,1,3,3
23,PACER-X,1,1,1,3,3
24,PostFilter-IVF,1,0,0,1258,1258
24,PACER-A,1,0,0,1600,1600
24,PACER-X,1,1,1,4404,4404
25,PostFilter-IVF,1,0,0,1483,1483
25,PACER-A,1,1,1,244,244
25,PACER-X,1,1,1,244,244
26,PostFilter-IVF,1,0,0,1132,1132
26,PACER-A,1,1,1,13,13
26,PACER-X,1,1,1,13,13
27,PostFilter-IVF,1,1,1,1352,1352
27,PACER-A,1,1,1,1,1
27,PACER-X,1,1,1,1,1
28,PostFilter-IVF,1,0,0,1072,1072
28,PACER-A,1,0,0,1600,1600
28,PACER-X,1,1,1,4653,4653
29,PostFilter-IVF,1,0,0,955,955
29,PACER-A,1,1,1,218,218
29,PACER-X,1,1,1,218,218
30,PostFilter-IVF,1,1,1,1167,1167
30,PACER-A,1,1,1,4,4
30,PACER-X,1,1,1,4,4
31,PostFilter-IVF,1,0,0,1165,1165
31,PACER-A,1,1,1,5,5
31,PACER-X,1,1,1,5,5
32,PostFilter-IVF,1,0,0,1131,1131
32,PACER-A,1,0,0,1600,1600
32,PACER-X,1,1,1,3994,3994
33,PostFilter-IVF,1,0,0,1147,1147
33,PACER-A,1,1,1,256,256
33,PACER-X,1,1,1,256,256
34,PostFilter-IVF,1,0,0,1084,1084
34,PACER-A,1,1,1,6,6
34,PACER-X,1,1,1,6,6
35,PostFilter-IVF,1,1,1,1216,1216
35,PACER-A,1,1,1,1,1
35,PACER-X,1,1,1,1,1
36,PostFilter-IVF,1,0,0,1255,1255
36,PACER-A,1,0,0,1600,1600
36,PACER-X,1,1,1,4308,4308
37,PostFilter-IVF,1,0,0,1063,1063
37,PACER-A,1,1,1,267,267
37,PACER-X,1,1,1,267,267
38,PostFilter-IVF,1,0,0,1023,1023
38,PACER-A,1,1,1,5,5
38,PACER-X,1,1,1,5,5
39,PostFilter-IVF,1,0,0,1127,1127
39,PACER-A,1,1,1,2,2
39,PACER-X,1,1,1,2,2
40,PostFilter-IVF,1,0,0,1238,1238
40,PACER-A,1,0,0,1600,1600
40,PACER-X,1,1,1,4672,4672
41,PostFilter-IVF,1,1,1,955,955
41,PACER-A,1,1,1,291,291
41,PACER-X,1,1,1,291,291
42,PostFilter-IVF,1,0,0,1070,1070
42,PACER-A,1,1,1,9,9
42,PACER-X,1,1,1,9,9
43,PostFilter-IVF,1,1,1,970,970
43,PACER-A,1,1,1,1,1
43,PACER-X,1,1,1,1,1
44,PostFilter-IVF,1,0,0,956,956
44,PACER-A,1,0,0,1600,1600
44,PACER-X,1,1,1,4849,4849
45,PostFilter-IVF,1,0,0,1185,1185
45,PACER-A,1,1,1,222,222
45,PACER-X,1,1,1,222,222
46,PostFilter-IVF,1,1,1,1162,1162
46,PACER-A,1,1,1,4,4
46,PACER-X,1,1,1,4,4
47,PostFilter-IVF,1,0,0,887,887
47,PACER-A,1,1,1,2,2
47,PACER-X,1,1,1,2,2
48,PostFilter-IVF,1,1,1,1247,1247
48,PACER-A,1,1,1,1600,1600
48,PACER-X,1,1,1,4425,4425
49,PostFilter-IVF,1,0,0,793,793
49,PACER-A,1,1,1,223,223
49,PACER-X,1,1,1,223,223
50,PostFilter-IVF,1,0,0,1161,1161
50,PACER-A,1,1,1,5,5
50,PACER-X,1,1,1,5,5
