query_id,regime,correlation,method,budget,recall_at_k,secure_topk_exact,latency_ms,candidates,raw_candidates,distance_evals,policy_checks,policy_violations,deleted_violations,tenant_violations,certified
0,broad,real_pendigits,PostFilter-IVF,100,1.0,1,1.3429330001599737,84,100,100,100,0,0,0,0
0,broad,real_pendigits,PACER-A,100,0.4,0,0.781439999855138,78,100,100,100,0,0,0,0
1,medium,real_pendigits,PostFilter-IVF,100,0.6,0,0.5792279998786398,13,100,100,100,0,0,0,0
1,medium,real_pendigits,PACER-A,100,0.5,0,1.6064919998370897,94,100,100,100,0,0,0,0
2,narrow,real_pendigits,PostFilter-IVF,100,0.4,0,1.0169580000365386,4,100,100,100,0,0,0,0
2,narrow,real_pendigits,PACER-A,100,1.0,1,1.191045999803464,100,100,100,100,0,0,0,0
3,cold,real_pendigits,PostFilter-IVF,100,0.1,0,0.7532909999099502,1,100,100,100,0,0,0,0
3,cold,real_pendigits,PACER-A,100,1.0,1,1.0912899999766523,33,33,33,33,0,0,0,1
4,broad,real_pendigits,PostFilter-IVF,100,0.9,0,0.8598890001394466,99,100,100,100,0,0,0,0
4,broad,real_pendigits,PACER-A,100,0.0,0,0.7962249999309279,65,100,100,100,0,0,0,0
5,medium,real_pendigits,PostFilter-IVF,100,0.5,0,0.7012370001575619,14,100,100,100,0,0,0,0
5,medium,real_pendigits,PACER-A,100,0.2,0,0.8218059999762772,64,100,100,100,0,0,0,0
6,narrow,real_pendigits,PostFilter-IVF,100,0.8,0,0.6321490000118501,8,100,100,100,0,0,0,0
6,narrow,real_pendigits,PACER-A,100,1.0,1,0.9130459998232254,41,41,41,41,0,0,0,1
7,cold,real_pendigits,PostFilter-IVF,100,1.0,1,0.4693470000347588,36,100,100,100,0,0,0,0
7,cold,real_pendigits,PACER-A,100,0.0,0,0.5672800000411371,100,100,100,100,0,0,0,0
8,broad,real_pendigits,PostFilter-IVF,100,0.7,0,0.6090629999562225,69,100,100,100,0,0,0,0
8,broad,real_pendigits,PACER-A,100,0.0,0,0.6341390001125546,67,100,100,100,0,0,0,0
9,medium,real_pendigits,PostFilter-IVF,100,0.7,0,0.4506540001329995,11,100,100,100,0,0,0,0
9,medium,real_pendigits,PACER-A,100,0.9,0,0.944651000054364,100,100,100,100,0,0,0,0
10,narrow,real_pendigits,PostFilter-IVF,100,1.0,1,0.5053689999385824,25,100,100,100,0,0,0,0
10,narrow,real_pendigits,PACER-A,100,1.0,1,0.6722050000007584,68,68,68,68,0,0,0,1
11,cold,real_pendigits,PostFilter-IVF,100,0.1,0,0.5913380000492907,1,100,100,100,0,0,0,0
11,cold,real_pendigits,PACER-A,100,1.0,1,1.1644849998901918,94,94,94,94,0,0,0,1
12,broad,real_pendigits,PostFilter-IVF,100,0.8,0,0.5240849998244812,57,100,100,100,0,0,0,0
12,broad,real_pendigits,PACER-A,100,0.0,0,0.6559379999089288,77,100,100,100,0,0,0,0
13,medium,real_pendigits,PostFilter-IVF,100,1.0,1,0.6231140000636515,60,100,100,100,0,0,0,0
13,medium,real_pendigits,PACER-A,100,0.3,0,0.7542640000792744,99,100,100,100,0,0,0,0
14,narrow,real_pendigits,PostFilter-IVF,100,0.4,0,0.45438400002240087,4,100,100,100,0,0,0,0
14,narrow,real_pendigits,PACER-A,100,1.0,1,1.2018260001696035,78,78,78,78,0,0,0,1
15,cold,real_pendigits,PostFilter-IVF,100,0.3,0,0.5870469999535999,3,100,100,100,0,0,0,0
15,cold,real_pendigits,PACER-A,100,1.0,1,0.6663889998890227,21,21,21,21,0,0,0,1
16,broad,real_pendigits,PostFilter-IVF,100,0.9,0,0.6334130000595906,100,100,100,100,0,0,0,0
16,broad,real_pendigits,PACER-A,100,0.0,0,0.5841629999849829,100,100,100,100,0,0,0,0
17,medium,real_pendigits,PostFilter-IVF,100,0.9,0,0.4533279998213402,42,100,100,100,0,0,0,0
17,medium,real_pendigits,PACER-A,100,0.0,0,0.5992260000766692,85,100,100,100,0,0,0,0
18,narrow,real_pendigits,PostFilter-IVF,100,0.4,0,0.5014199998640834,4,100,100,100,0,0,0,0
18,narrow,real_pendigits,PACER-A,100,1.0,1,0.707904000137205,29,29,29,29,0,0,0,1
19,cold,real_pendigits,PostFilter-IVF,100,0.75,0,0.4814270000679244,3,100,100,100,0,0,0,0
19,cold,real_pendigits,PACER-A,100,1.0,1,0.17213000000992906,4,4,4,4,0,0,0,1
20,broad,real_pendigits,PostFilter-IVF,100,1.0,1,0.6359879998854012,94,100,100,100,0,0,0,0
20,broad,real_pendigits,PACER-A,100,0.8,0,0.682885999822247,97,100,100,100,0,0,0,0
21,medium,real_pendigits,PostFilter-IVF,100,1.0,1,0.6029240000771097,47,100,100,100,0,0,0,0
21,medium,real_pendigits,PACER-A,100,0.0,0,0.6336019998798292,100,100,100,100,0,0,0,0
22,narrow,real_pendigits,PostFilter-IVF,100,0.5,0,0.5310450001161371,5,100,100,100,0,0,0,0
22,narrow,real_pendigits,PACER-A,100,1.0,1,0.757642000053238,31,31,31,31,0,0,0,1
23,cold,real_pendigits,PostFilter-IVF,100,0.8,0,0.5509089999122807,8,100,100,100,0,0,0,0
23,cold,real_pendigits,PACER-A,100,1.0,1,0.5128299999341834,21,21,21,21,0,0,0,1
0,broad,real_pendigits,PostFilter-IVF,200,1.0,1,0.6783819999327534,163,200,200,200,0,0,0,0
