invisible_prefix,budget,k,required_rank_depth,postfilter_recall_at_k,postfilter_exact,postfilter_returned,certifying_scan_exact,output_violations
0,50,10,10,1.0,1,10,1,0
0,128,10,10,1.0,1,10,1,0
0,256,10,10,1.0,1,10,1,0
0,512,10,10,1.0,1,10,1,0
0,1024,10,10,1.0,1,10,1,0
25,50,10,35,1.0,1,10,1,0
25,128,10,35,1.0,1,10,1,0
25,256,10,35,1.0,1,10,1,0
25,512,10,35,1.0,1,10,1,0
25,1024,10,35,1.0,1,10,1,0
100,50,10,110,0.0,0,0,1,0
100,128,10,110,1.0,1,10,1,0
100,256,10,110,1.0,1,10,1,0
100,512,10,110,1.0,1,10,1,0
100,1024,10,110,1.0,1,10,1,0
250,50,10,260,0.0,0,0,1,0
250,128,10,260,0.0,0,0,1,0
250,256,10,260,0.6,0,6,1,0
250,512,10,260,1.0,1,10,1,0
250,1024,10,260,1.0,1,10,1,0
600,50,10,610,0.0,0,0,1,0
600,128,10,610,0.0,0,0,1,0
600,256,10,610,0.0,0,0,1,0
600,512,10,610,0.0,0,0,1,0
600,1024,10,610,1.0,1,10,1,0
1200,50,10,1210,0.0,0,0,1,0
1200,128,10,1210,0.0,0,0,1,0
1200,256,10,1210,0.0,0,0,1,0
1200,512,10,1210,0.0,0,0,1,0
1200,1024,10,1210,0.0,0,0,1,0
