n,method,recall_at_k,secure_topk_exact,latency_ms,median_latency_ms,p95_latency_ms,candidates,raw_candidates,policy_violations_per_query,deleted_violations_per_query,tenant_violations_per_query,certified_fraction,certified_sound_fraction,certificate_errors
5000,ExactSecure,1.0,1.0,3.1020301562847408,2.6564935000124024,5.485642699943583,596.625,5000.0,0.0,0.0,0.0,1.0,1.0,0.0
5000,PreFilter-Exact,1.0,1.0,3.1438147187756726,2.6596085000392122,5.234326800155031,596.625,5000.0,0.0,0.0,0.0,1.0,1.0,0.0
5000,PostFilter-IVF,0.7201388888888889,0.34375,1.1826421562375344,1.0126644999672862,1.7768585500789413,148.8125,1256.21875,0.0,0.0,0.0,0.0,1.0,0.0
5000,AdaptivePostFilter-IVF,0.9861111111111112,0.96875,4.90268090624113,4.4189774999949805,7.832454350079843,572.90625,4800.0,0.0,0.0,0.0,0.0,1.0,0.0
5000,TenantPartition-IVF,0.7201388888888889,0.34375,0.7887459375055528,0.7302769998887015,1.2097164000124394,148.8125,1256.21875,0.0,0.0,0.0,0.0,1.0,0.0
5000,PACER-A,1.0,1.0,2.2829379687152596,1.2218709999842758,6.196499399902677,575.1875,641.03125,0.0,0.0,0.0,0.75,1.0,0.0
5000,PACER-C,1.0,1.0,2.2000820624725748,1.2139739999383892,6.331344000045647,596.625,664.84375,0.0,0.0,0.0,1.0,1.0,0.0
5000,PACER-X,1.0,1.0,2.217567218764316,1.1364360000243323,6.3919138500068575,596.625,664.84375,0.0,0.0,0.0,1.0,1.0,0.0
10000,ExactSecure,1.0,1.0,5.493141718751815,5.174353500024154,8.005440800002361,1188.40625,10000.0,0.0,0.0,0.0,1.0,1.0,0.0
10000,PreFilter-Exact,1.0,1.0,5.436638125040361,5.131886000071972,7.227341850023095,1188.40625,10000.0,0.0,0.0,0.0,1.0,1.0,0.0
10000,PostFilter-IVF,0.6812748015873016,0.1875,1.0858320000153299,1.0753205000355592,1.247986299904369,163.6875,1291.84375,0.0,0.0,0.0,0.0,1.0,0.0
10000,AdaptivePostFilter-IVF,0.8798611111111111,0.6875,4.485061874994756,4.313084500040532,5.610261199967681,575.3125,4800.0,0.0,0.0,0.0,0.0,1.0,0.0
10000,TenantPartition-IVF,0.6812748015873016,0.1875,0.7288686562318958,0.6640164999680565,1.0971780500540262,163.6875,1291.84375,0.0,0.0,0.0,0.0,1.0,0.0
10000,PACER-A,0.996875,0.96875,3.3171732812533605,2.1516284998597257,7.99516424989406,610.84375,674.09375,0.0,0.0,0.0,0.75,1.0,0.0
10000,PACER-C,1.0,1.0,4.985520218767192,2.1698724999623664,15.095905250029773,1188.40625,1312.5,0.0,0.0,0.0,1.0,1.0,0.0
10000,PACER-X,1.0,1.0,5.067674999999383,2.114615499976935,15.644519150043834,1188.40625,1312.5,0.0,0.0,0.0,1.0,1.0,0.0
15000,ExactSecure,1.0,1.0,7.778126718719136,7.480734499949904,8.988325899861136,1803.75,15000.0,0.0,0.0,0.0,1.0,1.0,0.0
15000,PreFilter-Exact,1.0,1.0,7.728044156230851,7.52176299988605,8.688285650043781,1803.75,15000.0,0.0,0.0,0.0,1.0,1.0,0.0
15000,PostFilter-IVF,0.4510416666666667,0.09375,1.0852499374962576,1.0894964999579315,1.3550279000583032,156.40625,1305.8125,0.0,0.0,0.0,0.0,1.0,0.0
15000,AdaptivePostFilter-IVF,0.6685763888888888,0.28125,4.425930031239034,4.2972740000095655,5.28122114984626,577.625,4800.0,0.0,0.0,0.0,0.0,1.0,0.0
15000,TenantPartition-IVF,0.4510416666666667,0.09375,0.7509584999851882,0.7124969998812958,1.1207588500269594,156.40625,1305.8125,0.0,0.0,0.0,0.0,1.0,0.0
15000,PACER-A,0.990625,0.9375,4.177029968751356,3.6025274999929024,9.218180249933992,643.59375,704.15625,0.0,0.0,0.0,0.75,1.0,0.0
15000,PACER-C,1.0,1.0,8.03256931251184,3.3846030000859173,25.334675749934377,1803.75,1974.09375,0.0,0.0,0.0,1.0,1.0,0.0
15000,PACER-X,1.0,1.0,7.922216968744067,3.275662499959253,24.772037600030217,1803.75,1974.09375,0.0,0.0,0.0,1.0,1.0,0.0
