query_id,regime,correlation,method,n,dim,k,allowed_count,selectivity,returned,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,explanation_valid,explanation_total,explanation_accuracy,latency_ms,raw_candidates,candidates,distance_evals,policy_checks,summary_checks,visited_cluster_count,certified,certified_and_exact,certificate_false_positive,certificate_gap,truncated_visible_slice
0,broad,positive,ExactSecure,15000,64,10,6907,0.4604666666666667,10,1.0,1,none,0,0,0,10,10,1.0,11.960900999838486,15000,6907,6907,15000,0,0,1,1,0,0.0,0
0,broad,positive,PreFilter-Exact,15000,64,10,6907,0.4604666666666667,10,1.0,1,none,0,0,0,10,10,1.0,8.805720000054862,15000,6907,6907,15000,0,0,1,1,0,0.0,0
0,broad,positive,BitmapSlice-Exact,15000,64,10,6907,0.4604666666666667,10,1.0,1,none,0,0,0,10,10,1.0,18.12193300020226,7630,6907,6907,7630,0,0,1,1,0,0.0,0
0,broad,positive,ScalarOnly,15000,64,10,6907,0.4604666666666667,10,0.0,0,ranking_truncation,0,0,0,10,10,1.0,7.678786999804288,15000,6907,0,15000,0,0,0,1,0,0.0,0
0,broad,positive,PostFilter-IVF,15000,64,10,6907,0.4604666666666667,10,0.4,0,ranking_truncation,0,0,0,10,10,1.0,1.0958709999613347,1162,500,1162,1162,0,8,0,1,0,0.0,0
0,broad,positive,AdaptivePostFilter-IVF,15000,64,10,6907,0.4604666666666667,10,1.0,1,none,0,0,0,10,10,1.0,4.649706999998671,4800,2233,4800,4800,0,33,0,1,0,0.0,0
0,broad,positive,ExactPrefix-PostFilter,15000,64,10,6907,0.4604666666666667,10,1.0,1,none,0,0,0,10,10,1.0,3.4187789999577944,2400,1080,15000,2400,0,0,0,1,0,0.0,0
0,broad,positive,TenantPartition-IVF,15000,64,10,6907,0.4604666666666667,10,0.4,0,ranking_truncation,0,0,0,10,10,1.0,0.8730480001304386,1162,500,1162,1162,0,8,0,1,0,0.0,0
0,broad,positive,PreFilter-IVF,15000,64,10,6907,0.4604666666666667,10,0.4,0,ranking_truncation,0,0,0,10,10,1.0,1.5615840000009484,1080,486,486,1080,8,8,0,1,0,0.0,0
0,broad,positive,PACER-A,15000,64,10,6907,0.4604666666666667,10,1.0,1,none,0,0,0,10,10,1.0,8.09904299990194,2400,2165,2400,2400,31,31,0,1,0,0.6155052781105042,1
0,broad,positive,PACER-C,15000,64,10,6907,0.4604666666666667,10,1.0,1,none,0,0,0,10,10,1.0,26.309717999993154,7630,6907,7630,7630,93,93,1,1,0,0.0,0
0,broad,positive,PACER-X,15000,64,10,6907,0.4604666666666667,10,1.0,1,none,0,0,0,10,10,1.0,26.50337199997921,7630,6907,7630,7630,93,93,1,1,0,0.0,0
0,broad,positive,PACER-A-NoSlices,15000,64,10,6907,0.4604666666666667,10,0.8,0,ranking_truncation,0,0,0,10,10,1.0,2.625040000111767,2400,1099,2400,2400,16,16,0,1,0,0.6464812755584717,1
0,broad,positive,PACER-A-NoBounds,15000,64,10,6907,0.4604666666666667,10,1.0,1,none,0,0,0,10,10,1.0,8.251266999877771,2400,2172,2400,2400,32,32,0,1,0,0.0,1
