query_id,regime,correlation,method,budget,recall_at_k,secure_topk_exact,latency_ms,candidates,raw_candidates,distance_evals,policy_checks,policy_violations,deleted_violations,tenant_violations,certified
0,broad,positive,PostFilter-IVF,150,1.0,1,0.4946369999743183,63,150,150,150,0,0,0,0
0,broad,positive,AdaptivePostFilter-IVF,150,0.4,0,0.2399929999228334,57,150,150,150,0,0,0,0
0,broad,positive,PACER-A,150,0.4,0,0.7877779999034829,137,150,150,150,0,0,0,0
1,medium,positive,PostFilter-IVF,150,0.2,0,0.3052199999729055,2,150,150,150,0,0,0,0
1,medium,positive,AdaptivePostFilter-IVF,150,0.0,0,0.20042799997099792,0,150,150,150,0,0,0,0
1,medium,positive,PACER-A,150,1.0,1,2.4799509997137648,140,150,150,150,0,0,0,0
2,narrow,positive,PostFilter-IVF,150,0.2222222222222222,0,0.28096599999116734,2,150,150,150,0,0,0,0
2,narrow,positive,AdaptivePostFilter-IVF,150,0.4444444444444444,0,0.239460999637231,4,150,150,150,0,0,0,0
2,narrow,positive,PACER-A,150,1.0,1,0.3099850000580773,9,9,9,9,0,0,0,1
3,cold,positive,PostFilter-IVF,150,0.0,0,0.27071600015915465,0,150,150,150,0,0,0,0
3,cold,positive,AdaptivePostFilter-IVF,150,0.0,0,0.25970800015784334,0,150,150,150,0,0,0,0
3,cold,positive,PACER-A,150,1.0,1,0.17313499984084046,1,1,1,1,0,0,0,1
4,broad,positive,PostFilter-IVF,150,1.0,1,0.31282899999496294,51,150,150,150,0,0,0,0
4,broad,positive,AdaptivePostFilter-IVF,150,1.0,1,0.27027800024370663,54,150,150,150,0,0,0,0
4,broad,positive,PACER-A,150,0.2,0,0.5436050000753312,135,150,150,150,0,0,0,0
5,medium,positive,PostFilter-IVF,150,1.0,1,0.2639489998728095,17,150,150,150,0,0,0,0
5,medium,positive,AdaptivePostFilter-IVF,150,0.9,0,0.2485149998392444,32,150,150,150,0,0,0,0
5,medium,positive,PACER-A,150,1.0,1,1.9827320002150373,139,150,150,150,0,0,0,0
6,narrow,positive,PostFilter-IVF,150,0.6666666666666666,0,0.3130089999103802,2,150,150,150,0,0,0,0
6,narrow,positive,AdaptivePostFilter-IVF,150,1.0,1,0.18374799992670887,3,150,150,150,0,0,0,0
6,narrow,positive,PACER-A,150,1.0,1,0.16139000035764184,3,4,4,4,0,0,0,1
7,cold,positive,PostFilter-IVF,150,0.5,0,0.3494459997455124,1,150,150,150,0,0,0,0
7,cold,positive,AdaptivePostFilter-IVF,150,0.0,0,0.16317300014634384,0,150,150,150,0,0,0,0
7,cold,positive,PACER-A,150,1.0,1,0.22987000011198688,2,3,3,3,0,0,0,1
8,broad,positive,PostFilter-IVF,150,0.8,0,0.3435870003158925,57,150,150,150,0,0,0,0
8,broad,positive,AdaptivePostFilter-IVF,150,0.6,0,0.240537000081531,64,150,150,150,0,0,0,0
8,broad,positive,PACER-A,150,0.6,0,0.621725999735645,132,150,150,150,0,0,0,0
9,medium,positive,PostFilter-IVF,150,0.4,0,0.27476300010675914,4,150,150,150,0,0,0,0
9,medium,positive,AdaptivePostFilter-IVF,150,0.3,0,0.1720019999993383,7,150,150,150,0,0,0,0
9,medium,positive,PACER-A,150,1.0,1,2.4605759999758448,125,141,141,141,0,0,0,1
10,narrow,positive,PostFilter-IVF,150,0.2,0,0.338584000019182,1,150,150,150,0,0,0,0
10,narrow,positive,AdaptivePostFilter-IVF,150,0.6,0,0.20372600010887254,3,150,150,150,0,0,0,0
10,narrow,positive,PACER-A,150,1.0,1,0.30829899969830876,5,5,5,5,0,0,0,1
11,cold,positive,PostFilter-IVF,150,0.5,0,0.30471900026896037,1,150,150,150,0,0,0,0
11,cold,positive,AdaptivePostFilter-IVF,150,0.5,0,0.19129799966322025,1,150,150,150,0,0,0,0
11,cold,positive,PACER-A,150,1.0,1,0.26263500012646546,2,3,3,3,0,0,0,1
12,broad,positive,PostFilter-IVF,150,0.7,0,0.2970350001305633,77,150,150,150,0,0,0,0
12,broad,positive,AdaptivePostFilter-IVF,150,0.4,0,0.2295369999956165,76,150,150,150,0,0,0,0
12,broad,positive,PACER-A,150,0.6,0,0.5866599999535538,136,150,150,150,0,0,0,0
13,medium,positive,PostFilter-IVF,150,0.5,0,0.296191999950679,5,150,150,150,0,0,0,0
13,medium,positive,AdaptivePostFilter-IVF,150,0.2,0,0.1729880000311823,4,150,150,150,0,0,0,0
13,medium,positive,PACER-A,150,1.0,1,2.317872000276111,123,130,130,130,0,0,0,1
14,narrow,positive,PostFilter-IVF,150,0.6666666666666666,0,0.30935599988879403,2,150,150,150,0,0,0,0
14,narrow,positive,AdaptivePostFilter-IVF,150,0.0,0,0.13718099990001065,0,150,150,150,0,0,0,0
14,narrow,positive,PACER-A,150,1.0,1,0.12465800000427407,3,3,3,3,0,0,0,1
15,cold,positive,PostFilter-IVF,150,0.6666666666666666,0,0.28936499984411057,2,150,150,150,0,0,0,0
15,cold,positive,AdaptivePostFilter-IVF,150,1.0,1,0.2105950002260215,3,150,150,150,0,0,0,0
15,cold,positive,PACER-A,150,1.0,1,0.12654900001507485,3,3,3,3,0,0,0,1
16,broad,positive,PostFilter-IVF,150,0.8,0,0.3064299999095965,67,150,150,150,0,0,0,0
16,broad,positive,AdaptivePostFilter-IVF,150,0.6,0,0.18636599997989833,56,150,150,150,0,0,0,0
16,broad,positive,PACER-A,150,0.2,0,0.5211080001572554,135,150,150,150,0,0,0,0
17,medium,positive,PostFilter-IVF,150,0.7,0,0.3568840002117213,7,150,150,150,0,0,0,0
17,medium,positive,AdaptivePostFilter-IVF,150,0.5,0,0.1578920000611106,8,150,150,150,0,0,0,0
17,medium,positive,PACER-A,150,0.8,0,2.223429999958171,137,150,150,150,0,0,0,0
18,narrow,positive,PostFilter-IVF,150,0.3333333333333333,0,0.2266839996991621,1,150,150,150,0,0,0,0
18,narrow,positive,AdaptivePostFilter-IVF,150,0.0,0,0.2730020000853983,0,150,150,150,0,0,0,0
18,narrow,positive,PACER-A,150,1.0,1,0.2459919996908866,3,4,4,4,0,0,0,1
19,cold,positive,PostFilter-IVF,150,1.0,1,0.2388509997217625,1,150,150,150,0,0,0,0
19,cold,positive,AdaptivePostFilter-IVF,150,1.0,1,0.14545099975293851,1,150,150,150,0,0,0,0
19,cold,positive,PACER-A,150,1.0,1,0.15508400019825785,1,1,1,1,0,0,0,1
20,broad,positive,PostFilter-IVF,150,0.8,0,0.25451600004089414,57,150,150,150,0,0,0,0
20,broad,positive,AdaptivePostFilter-IVF,150,0.6,0,0.22537000040756539,49,150,150,150,0,0,0,0
20,broad,positive,PACER-A,150,0.6,0,0.5650180000884575,130,150,150,150,0,0,0,0
21,medium,positive,PostFilter-IVF,150,0.6,0,0.28658900009759236,6,150,150,150,0,0,0,0
21,medium,positive,AdaptivePostFilter-IVF,150,0.3,0,0.23150399965743418,3,150,150,150,0,0,0,0
21,medium,positive,PACER-A,150,1.0,1,2.3991640000531333,117,130,130,130,0,0,0,1
22,narrow,positive,PostFilter-IVF,150,0.16666666666666666,0,0.2210879997619486,1,150,150,150,0,0,0,0
22,narrow,positive,AdaptivePostFilter-IVF,150,0.5,0,0.16694899977665045,3,150,150,150,0,0,0,0
22,narrow,positive,PACER-A,150,1.0,1,0.3967399998145993,6,8,8,8,0,0,0,1
23,cold,positive,PostFilter-IVF,150,0.5,0,0.25455800005147466,3,150,150,150,0,0,0,0
23,cold,positive,AdaptivePostFilter-IVF,150,1.0,1,0.1810670000850223,6,150,150,150,0,0,0,0
23,cold,positive,PACER-A,150,1.0,1,0.12947200002599857,6,6,6,6,0,0,0,1
24,broad,positive,PostFilter-IVF,150,0.8,0,0.3426620000936964,72,150,150,150,0,0,0,0
24,broad,positive,AdaptivePostFilter-IVF,150,0.4,0,0.2048609999292239,64,150,150,150,0,0,0,0
24,broad,positive,PACER-A,150,0.1,0,0.546352000128536,137,150,150,150,0,0,0,0
25,medium,positive,PostFilter-IVF,150,0.4,0,0.2835899999809044,4,150,150,150,0,0,0,0
25,medium,positive,AdaptivePostFilter-IVF,150,0.5,0,0.18995599975824007,12,150,150,150,0,0,0,0
25,medium,positive,PACER-A,150,1.0,1,2.350026999920374,132,150,150,150,0,0,0,0
26,narrow,positive,PostFilter-IVF,150,0.3333333333333333,0,0.290991999918333,1,150,150,150,0,0,0,0
26,narrow,positive,AdaptivePostFilter-IVF,150,0.3333333333333333,0,0.19738199989660643,1,150,150,150,0,0,0,0
26,narrow,positive,PACER-A,150,1.0,1,0.35382699979891186,3,4,4,4,0,0,0,1
27,cold,positive,PostFilter-IVF,150,0.4,0,0.27105100025437423,2,150,150,150,0,0,0,0
27,cold,positive,AdaptivePostFilter-IVF,150,0.6,0,0.2358830001867318,3,150,150,150,0,0,0,0
27,cold,positive,PACER-A,150,1.0,1,0.2692290004233655,5,6,6,6,0,0,0,1
28,broad,positive,PostFilter-IVF,150,0.7,0,0.27442999999038875,60,150,150,150,0,0,0,0
28,broad,positive,AdaptivePostFilter-IVF,150,0.3,0,0.16289399991364917,36,150,150,150,0,0,0,0
28,broad,positive,PACER-A,150,0.3,0,0.6058110002413741,132,150,150,150,0,0,0,0
29,medium,positive,PostFilter-IVF,150,0.5,0,0.27962300009676255,7,150,150,150,0,0,0,0
29,medium,positive,AdaptivePostFilter-IVF,150,0.3,0,0.18406900016998406,7,150,150,150,0,0,0,0
29,medium,positive,PACER-A,150,1.0,1,2.174470000227302,115,128,128,128,0,0,0,1
30,narrow,positive,PostFilter-IVF,150,0.0,0,0.24051399987001787,0,150,150,150,0,0,0,0
30,narrow,positive,AdaptivePostFilter-IVF,150,0.3333333333333333,0,0.23917499993331148,1,150,150,150,0,0,0,0
30,narrow,positive,PACER-A,150,1.0,1,0.20201799998176284,3,5,5,5,0,0,0,1
31,cold,positive,PostFilter-IVF,150,1.0,1,0.32167700010177214,1,150,150,150,0,0,0,0
31,cold,positive,AdaptivePostFilter-IVF,150,1.0,1,0.19312399990667473,1,150,150,150,0,0,0,0
31,cold,positive,PACER-A,150,1.0,1,0.1557860000502842,1,1,1,1,0,0,0,1
0,broad,positive,PostFilter-IVF,300,1.0,1,0.5711759999940114,141,300,300,300,0,0,0,0
0,broad,positive,AdaptivePostFilter-IVF,300,0.6,0,0.3118679996987339,142,300,300,300,0,0,0,0
0,broad,positive,PACER-A,300,0.8,0,0.9498200001871737,279,300,300,300,0,0,0,0
1,medium,positive,PostFilter-IVF,300,0.2,0,0.5131199995958013,2,300,300,300,0,0,0,0
1,medium,positive,AdaptivePostFilter-IVF,300,0.0,0,0.4701949997070187,1,300,300,300,0,0,0,0
1,medium,positive,PACER-A,300,1.0,1,2.587611000308243,140,151,151,151,0,0,0,1
2,narrow,positive,PostFilter-IVF,300,0.4444444444444444,0,0.47293199986597756,4,300,300,300,0,0,0,0
2,narrow,positive,AdaptivePostFilter-IVF,300,0.4444444444444444,0,0.4079279997313279,4,300,300,300,0,0,0,0
2,narrow,positive,PACER-A,300,1.0,1,0.3589119996831869,9,9,9,9,0,0,0,1
3,cold,positive,PostFilter-IVF,300,0.0,0,0.36078799985261867,0,300,300,300,0,0,0,0
3,cold,positive,AdaptivePostFilter-IVF,300,0.0,0,0.37772999985463684,0,300,300,300,0,0,0,0
3,cold,positive,PACER-A,300,1.0,1,0.172709000253235,1,1,1,1,0,0,0,1
4,broad,positive,PostFilter-IVF,300,1.0,1,0.48715899993112544,119,300,300,300,0,0,0,0
4,broad,positive,AdaptivePostFilter-IVF,300,1.0,1,0.40797200017550495,114,300,300,300,0,0,0,0
