n,query_id,method,recall_at_k,ordered_exact_secure_topk,raw_candidates,latency_ms,policy_violations,deleted_violations,tenant_violations,certified
120000,0,PostFilter-IVF,0.8,0,2400,127.32571699999085,0,0,0,0
120000,0,PACER-A,0.8,0,2400,102.55526400000292,0,0,0,0
120000,0,PACER-C,1.0,1,23322,145.46189499999684,0,0,0,1
120000,0,PACER-X,1.0,1,23322,146.08334399999023,0,0,0,1
120000,1,PostFilter-IVF,0.4,0,2400,27.534172000002854,0,0,0,0
120000,1,PACER-A,1.0,1,521,106.12403999999742,0,0,0,1
120000,1,PACER-C,1.0,1,521,9.321416999995336,0,0,0,1
120000,1,PACER-X,1.0,1,521,9.12181500000031,0,0,0,1
120000,2,PostFilter-IVF,0.2,0,2400,42.31262799999058,0,0,0,0
120000,2,PACER-A,1.0,1,22,1.720973000004733,0,0,0,1
120000,2,PACER-C,1.0,1,22,1.4144390000012663,0,0,0,1
120000,2,PACER-X,1.0,1,22,1.2522340000060694,0,0,0,1
120000,3,PostFilter-IVF,1.0,1,2400,69.52927899999395,0,0,0,0
120000,3,PACER-A,1.0,1,1,0.5576230000059468,0,0,0,1
120000,3,PACER-C,1.0,1,1,0.38374000000374053,0,0,0,1
120000,3,PACER-X,1.0,1,1,0.35850199999742927,0,0,0,1
120000,4,PostFilter-IVF,0.5,0,2400,103.25536199999874,0,0,0,0
120000,4,PACER-A,0.5,0,2400,106.14507199998968,0,0,0,0
120000,4,PACER-C,1.0,1,22733,142.31113900000025,0,0,0,1
120000,4,PACER-X,1.0,1,22733,145.892915999994,0,0,0,1
120000,5,PostFilter-IVF,0.9,0,2400,12.94367599999191,0,0,0,0
120000,5,PACER-A,1.0,1,133,4.55184400000519,0,0,0,1
120000,5,PACER-C,1.0,1,133,4.036935000002018,0,0,0,1
120000,5,PACER-X,1.0,1,133,2.9108619999931307,0,0,0,1
120000,6,PostFilter-IVF,0.3,0,2400,69.77022999998894,0,0,0,0
120000,6,PACER-A,1.0,1,20,1.481550999997694,0,0,0,1
120000,6,PACER-C,1.0,1,20,1.3181340000016917,0,0,0,1
120000,6,PACER-X,1.0,1,20,1.3111629999968955,0,0,0,1
120000,7,PostFilter-IVF,0.0,0,2400,65.1530110000067,0,0,0,0
120000,7,PACER-A,1.0,1,2,0.6291119999985995,0,0,0,1
120000,7,PACER-C,1.0,1,2,0.44583400000419715,0,0,0,1
120000,7,PACER-X,1.0,1,2,0.4187539999946921,0,0,0,1
120000,8,PostFilter-IVF,0.9,0,2400,101.37617899999896,0,0,0,0
120000,8,PACER-A,0.9,0,2400,110.4490709999908,0,0,0,0
120000,8,PACER-C,1.0,1,22344,142.77863600000273,0,0,0,1
120000,8,PACER-X,1.0,1,22344,139.48195999999768,0,0,0,1
120000,9,PostFilter-IVF,0.6,0,2400,9.73395599999094,0,0,0,0
120000,9,PACER-A,1.0,1,325,118.8229750000005,0,0,0,1
120000,9,PACER-C,1.0,1,325,5.143048000007866,0,0,0,1
120000,9,PACER-X,1.0,1,325,4.908404000005362,0,0,0,1
120000,10,PostFilter-IVF,0.0,0,2400,57.32702999999617,0,0,0,0
120000,10,PACER-A,1.0,1,8,1.0920710000021927,0,0,0,1
120000,10,PACER-C,1.0,1,8,0.9401920000016162,0,0,0,1
120000,10,PACER-X,1.0,1,8,0.7701250000025084,0,0,0,1
120000,11,PostFilter-IVF,0.7,0,2400,67.61957599999846,0,0,0,0
120000,11,PACER-A,1.0,1,15,1.3212279999947896,0,0,0,1
120000,11,PACER-C,1.0,1,15,1.2368009999903506,0,0,0,1
120000,11,PACER-X,1.0,1,15,1.3053039999988414,0,0,0,1
120000,12,PostFilter-IVF,1.0,1,2400,101.57852599999728,0,0,0,0
120000,12,PACER-A,1.0,1,2400,109.16239499999847,0,0,0,0
120000,12,PACER-C,1.0,1,22514,139.473547999998,0,0,0,1
120000,12,PACER-X,1.0,1,22514,137.76973999999598,0,0,0,1
120000,13,PostFilter-IVF,0.5,0,2400,41.20802300001003,0,0,0,0
120000,13,PACER-A,1.0,1,273,5.327467000000752,0,0,0,1
120000,13,PACER-C,1.0,1,273,93.36512400000174,0,0,0,1
120000,13,PACER-X,1.0,1,273,4.758555999998748,0,0,0,1
120000,14,PostFilter-IVF,0.25,0,2400,63.584814999998684,0,0,0,0
120000,14,PACER-A,1.0,1,5,0.8783779999959052,0,0,0,1
120000,14,PACER-C,1.0,1,5,0.7055570000034095,0,0,0,1
120000,14,PACER-X,1.0,1,5,0.6991169999963631,0,0,0,1
120000,15,PostFilter-IVF,0.16666666666666666,0,2400,5.516772999996533,0,0,0,0
120000,15,PACER-A,1.0,1,6,61.31422499998962,0,0,0,1
120000,15,PACER-C,1.0,1,6,0.9861919999991642,0,0,0,1
120000,15,PACER-X,1.0,1,6,0.7736799999946697,0,0,0,1
240000,0,PostFilter-IVF,1.0,1,2400,200.6539719999978,0,0,0,0
240000,0,PACER-A,1.0,1,2400,28.821129000007772,0,0,0,0
240000,0,PACER-C,1.0,1,42433,463.0876620000066,0,0,0,1
240000,0,PACER-X,1.0,1,42433,461.14613299999974,0,0,0,1
240000,1,PostFilter-IVF,0.3,0,2400,23.296853000005058,0,0,0,0
240000,1,PACER-A,1.0,1,785,110.62323299999832,0,0,0,1
240000,1,PACER-C,1.0,1,785,13.3279469999934,0,0,0,1
240000,1,PACER-X,1.0,1,785,13.175166000010563,0,0,0,1
240000,2,PostFilter-IVF,0.16666666666666666,0,2400,198.25732799999685,0,0,0,0
240000,2,PACER-A,1.0,1,7,1.3694109999988768,0,0,0,1
240000,2,PACER-C,1.0,1,7,1.08698399999696,0,0,0,1
240000,2,PACER-X,1.0,1,7,1.0542849999950477,0,0,0,1
240000,3,PostFilter-IVF,0.1,0,2400,32.412956000001714,0,0,0,0
240000,3,PACER-A,1.0,1,40,2.9727259999958733,0,0,0,1
240000,3,PACER-C,1.0,1,40,94.97430900000836,0,0,0,1
240000,3,PACER-X,1.0,1,40,2.0813980000014,0,0,0,1
240000,4,PostFilter-IVF,0.7,0,2400,105.03788299999428,0,0,0,0
240000,4,PACER-A,0.7,0,2400,125.86789200000226,0,0,0,0
240000,4,PACER-C,1.0,1,42673,471.8064709999936,0,0,0,1
240000,4,PACER-X,1.0,1,42673,466.86189199999717,0,0,0,1
240000,5,PostFilter-IVF,0.5,0,2400,5.890993999997818,0,0,0,0
240000,5,PACER-A,1.0,1,1015,197.89498099999037,0,0,0,1
240000,5,PACER-C,1.0,1,1015,16.018196000004536,0,0,0,1
