epoch,query_id,regime,method,visible_count,future_postings_in_index,stale_postings_in_index,returned,recall_at_k,secure_topk_exact,future_output_violations,deleted_output_violations,policy_output_violations,tenant_output_violations,certified,raw_candidates,candidates,policy_checks
0,0,broad,PostFilter-IVF,2828,6492,0,10,0.6,0,0,0,0,0,0,1200,266,1200
0,0,broad,StaleNoRecheck,2828,6492,0,10,0.3,0,7,0,0,0,0,1200,587,1200
0,0,broad,NaiveNoPolicy,2828,6492,0,10,0.1,0,5,0,0,6,0,1200,1200,0
0,0,broad,PACER-A,2828,6492,0,10,0.7,0,0,0,0,0,0,1200,558,1200
0,0,broad,PACER-X,2828,6492,0,10,1.0,1,0,0,0,0,1,6086,2828,6086
0,1,medium,PostFilter-IVF,168,6492,0,10,0.7,0,0,0,0,0,0,1200,22,1200
0,1,medium,StaleNoRecheck,168,6492,0,10,0.5,0,5,0,0,0,0,1200,52,1200
0,1,medium,NaiveNoPolicy,168,6492,0,10,0.1,0,3,0,8,7,0,1200,1200,0
0,1,medium,PACER-A,168,6492,0,10,1.0,1,0,0,0,0,1,367,168,367
0,1,medium,PACER-X,168,6492,0,10,1.0,1,0,0,0,0,1,367,168,367
0,2,narrow,PostFilter-IVF,1,6492,0,1,1.0,1,0,0,0,0,0,1200,1,1200
0,2,narrow,StaleNoRecheck,1,6492,0,4,1.0,0,3,0,0,0,0,1200,4,1200
0,2,narrow,NaiveNoPolicy,1,6492,0,10,0.0,0,8,0,9,5,0,1200,1200,0
0,2,narrow,PACER-A,1,6492,0,1,1.0,1,0,0,0,0,1,6,1,6
0,2,narrow,PACER-X,1,6492,0,1,1.0,1,0,0,0,0,1,6,1,6
0,3,cold,PostFilter-IVF,1,6492,0,0,0.0,0,0,0,0,0,0,1200,0,1200
0,3,cold,StaleNoRecheck,1,6492,0,1,0.0,0,1,0,0,0,0,1200,1,1200
0,3,cold,NaiveNoPolicy,1,6492,0,10,0.0,0,7,0,9,7,0,1200,1200,0
0,3,cold,PACER-A,1,6492,0,1,1.0,1,0,0,0,0,1,2,1,2
