query_id,kind,method,n,dim,visible_count,recall_at_k,secure_topk_exact,failure_mode,latency_ms,candidates,raw_candidates,policy_checks,visited_cluster_count,certified,certificate_false_positive,summary_pruned_clusters
0,dnf,ExactSQL-AST,9000,64,249,1.0,1,none,0.855100999615388,249,9000,9000,0,1,0,0
0,dnf,PostFilter-SQL-AST,9000,64,249,0.3,0,ranking_truncation,0.38128399955894565,23,1104,1104,8,0,0,0
0,dnf,PACER-A-SQL-AST,9000,64,249,1.0,1,none,8.615961000032257,143,4800,4800,35,0,0,0
0,dnf,PACER-X-SQL-AST,9000,64,249,1.0,1,none,14.6750140002041,249,9000,9000,64,1,0,0
1,semijoin,ExactSQL-AST,9000,64,194,1.0,1,none,0.3995379993284587,194,9000,9000,0,1,0,0
1,semijoin,PostFilter-SQL-AST,9000,64,194,0.8,0,ranking_truncation,0.19679099932545796,31,990,990,8,0,0,0
1,semijoin,PACER-A-SQL-AST,9000,64,194,0.9,0,ranking_truncation,4.208370000014838,88,4800,4800,35,0,0,0
1,semijoin,PACER-X-SQL-AST,9000,64,194,1.0,1,none,8.30359999963548,194,9000,9000,64,1,0,0
2,antijoin,ExactSQL-AST,9000,64,1682,1.0,1,none,0.6419410001399228,1682,9000,9000,0,1,0,0
2,antijoin,PostFilter-SQL-AST,9000,64,1682,0.5,0,ranking_truncation,0.3301839997220668,162,1062,1062,8,0,0,0
2,antijoin,PACER-A-SQL-AST,9000,64,1682,0.7,0,ranking_truncation,5.189446000258613,855,4800,4800,32,0,0,0
2,antijoin,PACER-X-SQL-AST,9000,64,1682,1.0,1,none,10.92405700001109,1682,9000,9000,64,1,0,0
3,range,ExactSQL-AST,9000,64,530,1.0,1,none,0.3499690001262934,530,9000,9000,0,1,0,0
3,range,PostFilter-SQL-AST,9000,64,530,0.4,0,ranking_truncation,0.20074599979125196,29,1007,1007,8,0,0,0
3,range,PACER-A-SQL-AST,9000,64,530,0.7,0,ranking_truncation,4.082121999999799,189,4800,4800,35,0,0,0
3,range,PACER-X-SQL-AST,9000,64,530,1.0,1,none,7.978024999829358,530,9000,9000,64,1,0,0
4,mixed,ExactSQL-AST,9000,64,1907,1.0,1,none,0.5328279994500917,1907,9000,9000,0,1,0,0
4,mixed,PostFilter-SQL-AST,9000,64,1907,0.3,0,ranking_truncation,0.2383900000495487,165,1053,1053,8,0,0,0
4,mixed,PACER-A-SQL-AST,9000,64,1907,0.9,0,ranking_truncation,4.655902000195056,953,4800,4800,34,0,0,0
4,mixed,PACER-X-SQL-AST,9000,64,1907,1.0,1,none,8.740616000068258,1907,9000,9000,64,1,0,0
5,dnf,ExactSQL-AST,9000,64,317,1.0,1,none,0.6732559995725751,317,9000,9000,0,1,0,0
5,dnf,PostFilter-SQL-AST,9000,64,317,0.6,0,ranking_truncation,0.5022609993829974,41,1172,1172,8,0,0,0
5,dnf,PACER-A-SQL-AST,9000,64,317,1.0,1,none,8.91991800017422,176,4800,4800,36,0,0,1
5,dnf,PACER-X-SQL-AST,9000,64,317,1.0,1,none,14.388124000106473,317,8960,8960,63,1,0,1
6,semijoin,ExactSQL-AST,9000,64,196,1.0,1,none,0.3218609999748878,196,9000,9000,0,1,0,0
6,semijoin,PostFilter-SQL-AST,9000,64,196,0.5,0,ranking_truncation,0.18726199959928636,17,872,872,8,0,0,0
6,semijoin,PACER-A-SQL-AST,9000,64,196,0.9,0,ranking_truncation,5.3674999999202555,102,4800,4800,36,0,0,0
6,semijoin,PACER-X-SQL-AST,9000,64,196,1.0,1,none,8.280088999526924,196,9000,9000,64,1,0,0
7,antijoin,ExactSQL-AST,9000,64,2228,1.0,1,none,0.7409259997075424,2228,9000,9000,0,1,0,0
7,antijoin,PostFilter-SQL-AST,9000,64,2228,0.5,0,ranking_truncation,0.2735089992711437,267,983,983,8,0,0,0
7,antijoin,PACER-A-SQL-AST,9000,64,2228,0.9,0,ranking_truncation,6.2432470003841445,1187,4800,4800,35,0,0,0
7,antijoin,PACER-X-SQL-AST,9000,64,2228,1.0,1,none,11.377438000636175,2228,9000,9000,64,1,0,0
8,range,ExactSQL-AST,9000,64,526,1.0,1,none,0.3872720008075703,526,9000,9000,0,1,0,0
8,range,PostFilter-SQL-AST,9000,64,526,0.8,0,ranking_truncation,0.21901600030105328,95,1158,1158,8,0,0,0
8,range,PACER-A-SQL-AST,9000,64,526,1.0,1,none,5.143563000274298,269,4800,4800,34,0,0,0
8,range,PACER-X-SQL-AST,9000,64,526,1.0,1,none,7.995976000529481,526,9000,9000,64,1,0,0
9,mixed,ExactSQL-AST,9000,64,2314,1.0,1,none,0.5750039999838918,2314,9000,9000,0,1,0,0
9,mixed,PostFilter-SQL-AST,9000,64,2314,1.0,1,none,0.28611099969566567,487,1138,1138,8,0,0,0
9,mixed,PACER-A-SQL-AST,9000,64,2314,1.0,1,none,5.182871000215528,1320,4800,4800,36,0,0,0
9,mixed,PACER-X-SQL-AST,9000,64,2314,1.0,1,none,8.505214000251726,2314,9000,9000,64,1,0,0
10,dnf,ExactSQL-AST,9000,64,412,1.0,1,none,0.7850969996070489,412,9000,9000,0,1,0,0
