query_id,kind,method,n,visible_count,recall_at_k,secure_topk_exact,failure_mode,latency_ms,candidates,raw_candidates,policy_checks,certified,certificate_false_positive
0,dnf,ExactSQL,9000,490,1.0,1,none,0.09745400006977434,490,9000,9000,1,0
0,dnf,PostFilter-SQL,9000,490,0.6,0,ranking_truncation,0.10603500004435773,73,1276,1276,0,0
0,dnf,PACER-A-SQL,9000,490,0.9,0,ranking_truncation,1.6886230000636715,279,4800,4800,0,0
0,dnf,PACER-X-SQL,9000,490,1.0,1,none,2.448284000138301,490,8640,8640,1,0
1,semijoin,ExactSQL,9000,250,1.0,1,none,0.041458000168859144,250,9000,9000,1,0
1,semijoin,PostFilter-SQL,9000,250,0.7,0,ranking_truncation,0.0492369999847142,30,1128,1128,0,0
1,semijoin,PACER-A-SQL,9000,250,1.0,1,none,1.1308740001823026,143,4800,4800,0,0
1,semijoin,PACER-X-SQL,9000,250,1.0,1,none,1.9634590000805474,250,8723,8723,1,0
2,antijoin,ExactSQL,9000,2519,1.0,1,none,0.24678499994479353,2519,9000,9000,1,0
2,antijoin,PostFilter-SQL,9000,2519,0.8,0,ranking_truncation,0.09738200014908216,334,1075,1075,0,0
2,antijoin,PACER-A-SQL,9000,2519,0.9,0,ranking_truncation,1.325071999872307,1391,4800,4800,0,0
2,antijoin,PACER-X-SQL,9000,2519,1.0,1,none,2.278123999985837,2519,9000,9000,1,0
3,mixed,ExactSQL,9000,2899,1.0,1,none,0.23884999995971157,2899,9000,9000,1,0
3,mixed,PostFilter-SQL,9000,2899,0.6,0,ranking_truncation,0.1004129999273573,392,1163,1163,0,0
3,mixed,PACER-A-SQL,9000,2899,1.0,1,none,1.3957720000234985,1587,4800,4800,0,0
3,mixed,PACER-X-SQL,9000,2899,1.0,1,none,2.518731000009211,2899,9000,9000,1,0
4,dnf,ExactSQL,9000,621,1.0,1,none,0.06381200000760145,621,9000,9000,1,0
4,dnf,PostFilter-SQL,9000,621,0.9,0,ranking_truncation,0.05083499991087592,90,1092,1092,0,0
4,dnf,PACER-A-SQL,9000,621,1.0,1,none,1.4663100000689155,434,4800,4800,0,0
4,dnf,PACER-X-SQL,9000,621,1.0,1,none,1.954296000121758,621,8349,8349,1,0
5,semijoin,ExactSQL,9000,228,1.0,1,none,0.0392720000945701,228,9000,9000,1,0
5,semijoin,PostFilter-SQL,9000,228,0.6,0,ranking_truncation,0.04186599994682183,31,1105,1105,0,0
5,semijoin,PACER-A-SQL,9000,228,1.0,1,none,1.2153430000125809,130,4800,4800,0,0
5,semijoin,PACER-X-SQL,9000,228,1.0,1,none,1.9861910000145144,228,8181,8181,1,0
6,antijoin,ExactSQL,9000,2502,1.0,1,none,0.21856300008948892,2502,9000,9000,1,0
6,antijoin,PostFilter-SQL,9000,2502,0.9,0,ranking_truncation,0.07808700001987745,325,1165,1165,0,0
6,antijoin,PACER-A-SQL,9000,2502,0.9,0,ranking_truncation,1.3503860000128043,1329,4800,4800,0,0
6,antijoin,PACER-X-SQL,9000,2502,1.0,1,none,2.6080049999563926,2502,9000,9000,1,0
7,mixed,ExactSQL,9000,1690,1.0,1,none,0.23311999984798604,1690,9000,9000,1,0
7,mixed,PostFilter-SQL,9000,1690,1.0,1,none,0.10679799993340566,244,1137,1137,0,0
7,mixed,PACER-A-SQL,9000,1690,1.0,1,none,1.2520039999799337,986,4800,4800,0,0
7,mixed,PACER-X-SQL,9000,1690,1.0,1,none,2.301678000094398,1690,9000,9000,1,0
8,dnf,ExactSQL,9000,786,1.0,1,none,0.07272700008797983,786,9000,9000,1,0
8,dnf,PostFilter-SQL,9000,786,0.8,0,ranking_truncation,0.09652500011725351,141,1285,1285,0,0
8,dnf,PACER-A-SQL,9000,786,1.0,1,none,1.2725930000669905,435,4800,4800,0,0
8,dnf,PACER-X-SQL,9000,786,1.0,1,none,2.195538000023589,786,8948,8948,1,0
9,semijoin,ExactSQL,9000,219,1.0,1,none,0.03891599999406026,219,9000,9000,1,0
9,semijoin,PostFilter-SQL,9000,219,0.4,0,ranking_truncation,0.05371199995352072,33,1290,1290,0,0
9,semijoin,PACER-A-SQL,9000,219,1.0,1,none,1.1160349999954633,132,4800,4800,0,0
9,semijoin,PACER-X-SQL,9000,219,1.0,1,none,1.8929380000827223,219,8290,8290,1,0
10,antijoin,ExactSQL,9000,2118,1.0,1,none,0.23784200016052637,2118,9000,9000,1,0
10,antijoin,PostFilter-SQL,9000,2118,0.8,0,ranking_truncation,0.09707499998512503,341,1283,1283,0,0
10,antijoin,PACER-A-SQL,9000,2118,1.0,1,none,1.4277549998951145,1132,4800,4800,0,0
10,antijoin,PACER-X-SQL,9000,2118,1.0,1,none,2.2793979999278235,2118,9000,9000,1,0
11,mixed,ExactSQL,9000,1818,1.0,1,none,0.14582799985873862,1818,9000,9000,1,0
11,mixed,PostFilter-SQL,9000,1818,0.3,0,ranking_truncation,0.05855399990650767,128,974,974,0,0
11,mixed,PACER-A-SQL,9000,1818,0.9,0,ranking_truncation,1.2954669998634927,973,4800,4800,0,0
11,mixed,PACER-X-SQL,9000,1818,1.0,1,none,2.148547999922812,1818,9000,9000,1,0
12,dnf,ExactSQL,9000,725,1.0,1,none,0.07783699993524351,725,9000,9000,1,0
12,dnf,PostFilter-SQL,9000,725,0.8,0,ranking_truncation,0.05157500004315807,106,1112,1112,0,0
12,dnf,PACER-A-SQL,9000,725,1.0,1,none,1.1519140000473271,382,4800,4800,0,0
12,dnf,PACER-X-SQL,9000,725,1.0,1,none,2.0884250000108295,725,9000,9000,1,0
13,semijoin,ExactSQL,9000,272,1.0,1,none,0.04194200005258608,272,9000,9000,1,0
13,semijoin,PostFilter-SQL,9000,272,0.5,0,ranking_truncation,0.04453299993656401,36,1274,1274,0,0
13,semijoin,PACER-A-SQL,9000,272,0.9,0,ranking_truncation,1.0633760000473558,141,4800,4800,0,0
13,semijoin,PACER-X-SQL,9000,272,1.0,1,none,1.9097619999683957,272,8930,8930,1,0
14,antijoin,ExactSQL,9000,2497,1.0,1,none,0.1718429998618376,2497,9000,9000,1,0
14,antijoin,PostFilter-SQL,9000,2497,0.6,0,ranking_truncation,0.0690449999183329,319,1153,1153,0,0
14,antijoin,PACER-A-SQL,9000,2497,1.0,1,none,1.1894429999301792,1250,4800,4800,0,0
14,antijoin,PACER-X-SQL,9000,2497,1.0,1,none,2.1267090000947064,2497,9000,9000,1,0
15,mixed,ExactSQL,9000,1800,1.0,1,none,0.12495800001488533,1800,9000,9000,1,0
15,mixed,PostFilter-SQL,9000,1800,0.5,0,ranking_truncation,0.05950500008111703,205,1075,1075,0,0
15,mixed,PACER-A-SQL,9000,1800,0.9,0,ranking_truncation,1.1510469998938788,953,4800,4800,0,0
15,mixed,PACER-X-SQL,9000,1800,1.0,1,none,2.1400529999482387,1800,9000,9000,1,0
16,dnf,ExactSQL,9000,318,1.0,1,none,0.049908999926628894,318,9000,9000,1,0
16,dnf,PostFilter-SQL,9000,318,0.8,0,ranking_truncation,0.044915999978911714,60,1199,1199,0,0
16,dnf,PACER-A-SQL,9000,318,1.0,1,none,1.158713999984684,195,4800,4800,0,0
16,dnf,PACER-X-SQL,9000,318,1.0,1,none,2.5722369998675276,318,8385,8385,1,0
17,semijoin,ExactSQL,9000,230,1.0,1,none,0.06880499995531864,230,9000,9000,1,0
17,semijoin,PostFilter-SQL,9000,230,0.6,0,ranking_truncation,0.044914999989487114,33,1006,1006,0,0
17,semijoin,PACER-A-SQL,9000,230,1.0,1,none,1.4762949999749253,142,4800,4800,0,0
17,semijoin,PACER-X-SQL,9000,230,1.0,1,none,2.0004320001589804,230,8419,8419,1,0
18,antijoin,ExactSQL,9000,2157,1.0,1,none,0.20254200012459478,2157,9000,9000,1,0
18,antijoin,PostFilter-SQL,9000,2157,0.4,0,ranking_truncation,0.06460300005528552,193,1098,1098,0,0
18,antijoin,PACER-A-SQL,9000,2157,0.9,0,ranking_truncation,1.3570439998602524,1030,4800,4800,0,0
18,antijoin,PACER-X-SQL,9000,2157,1.0,1,none,2.1881580000808754,2157,9000,9000,1,0
19,mixed,ExactSQL,9000,1902,1.0,1,none,0.13352400014809973,1902,9000,9000,1,0
19,mixed,PostFilter-SQL,9000,1902,0.8,0,ranking_truncation,0.06833699990238529,320,1212,1212,0,0
19,mixed,PACER-A-SQL,9000,1902,1.0,1,none,1.1705279998750484,995,4800,4800,0,0
19,mixed,PACER-X-SQL,9000,1902,1.0,1,none,2.240668000013102,1902,9000,9000,1,0
20,dnf,ExactSQL,9000,604,1.0,1,none,0.061624999943887815,604,9000,9000,1,0
20,dnf,PostFilter-SQL,9000,604,0.6,0,ranking_truncation,0.047865999931673286,53,1237,1237,0,0
20,dnf,PACER-A-SQL,9000,604,0.9,0,ranking_truncation,1.1478750000151194,350,4800,4800,0,0
20,dnf,PACER-X-SQL,9000,604,1.0,1,none,1.9098389998362109,604,8931,8931,1,0
21,semijoin,ExactSQL,9000,223,1.0,1,none,0.0395460001527681,223,9000,9000,1,0
21,semijoin,PostFilter-SQL,9000,223,0.4,0,ranking_truncation,0.042294999957448454,25,1353,1353,0,0
21,semijoin,PACER-A-SQL,9000,223,1.0,1,none,1.1958130000948586,125,4800,4800,0,0
21,semijoin,PACER-X-SQL,9000,223,1.0,1,none,1.7879780000384926,223,8474,8474,1,0
22,antijoin,ExactSQL,9000,2351,1.0,1,none,0.19720699992831214,2351,9000,9000,1,0
22,antijoin,PostFilter-SQL,9000,2351,0.4,0,ranking_truncation,0.0683270000081393,294,1113,1113,0,0
22,antijoin,PACER-A-SQL,9000,2351,1.0,1,none,1.3360609998471773,1304,4800,4800,0,0
22,antijoin,PACER-X-SQL,9000,2351,1.0,1,none,2.661476000184848,2351,9000,9000,1,0
23,mixed,ExactSQL,9000,1943,1.0,1,none,0.1763699999628443,1943,9000,9000,1,0
23,mixed,PostFilter-SQL,9000,1943,1.0,1,none,0.07251300007737882,259,1148,1148,0,0
23,mixed,PACER-A-SQL,9000,1943,1.0,1,none,1.2665249998917716,1088,4800,4800,0,0
23,mixed,PACER-X-SQL,9000,1943,1.0,1,none,2.304885000057766,1943,9000,9000,1,0
24,dnf,ExactSQL,9000,678,1.0,1,none,0.062135000007401686,678,9000,9000,1,0
24,dnf,PostFilter-SQL,9000,678,0.6,0,ranking_truncation,0.04880300002696458,71,1151,1151,0,0
24,dnf,PACER-A-SQL,9000,678,0.9,0,ranking_truncation,1.0956230000829237,309,4800,4800,0,0
24,dnf,PACER-X-SQL,9000,678,1.0,1,none,1.9896310000149242,678,8643,8643,1,0
25,semijoin,ExactSQL,9000,251,1.0,1,none,0.04173600018475554,251,9000,9000,1,0
25,semijoin,PostFilter-SQL,9000,251,0.2,0,ranking_truncation,0.04274299999451614,20,846,846,0,0
25,semijoin,PACER-A-SQL,9000,251,1.0,1,none,1.1483279999993101,148,4800,4800,0,0
25,semijoin,PACER-X-SQL,9000,251,1.0,1,none,2.4245030001566192,251,8700,8700,1,0
26,antijoin,ExactSQL,9000,2570,1.0,1,none,0.2722609999636916,2570,9000,9000,1,0
26,antijoin,PostFilter-SQL,9000,2570,1.0,1,none,0.10811299989654799,309,1136,1136,0,0
26,antijoin,PACER-A-SQL,9000,2570,1.0,1,none,1.7463110000335291,1357,4800,4800,0,0
26,antijoin,PACER-X-SQL,9000,2570,1.0,1,none,2.5542699997913587,2570,9000,9000,1,0
27,mixed,ExactSQL,9000,1790,1.0,1,none,0.14404500007003662,1790,9000,9000,1,0
27,mixed,PostFilter-SQL,9000,1790,0.8,0,ranking_truncation,0.07679400005144998,280,1133,1133,0,0
27,mixed,PACER-A-SQL,9000,1790,0.9,0,ranking_truncation,1.291417999937039,950,4800,4800,0,0
27,mixed,PACER-X-SQL,9000,1790,1.0,1,none,2.72560300004443,1790,9000,9000,1,0
28,dnf,ExactSQL,9000,668,1.0,1,none,0.0768370000514551,668,9000,9000,1,0
28,dnf,PostFilter-SQL,9000,668,0.7,0,ranking_truncation,0.1001910000013595,106,1212,1212,0,0
28,dnf,PACER-A-SQL,9000,668,1.0,1,none,1.397947999976168,394,4800,4800,0,0
28,dnf,PACER-X-SQL,9000,668,1.0,1,none,2.374461000044903,668,8963,8963,1,0
29,semijoin,ExactSQL,9000,242,1.0,1,none,0.039577000052304356,242,9000,9000,1,0
29,semijoin,PostFilter-SQL,9000,242,0.7,0,ranking_truncation,0.07063499992909783,33,1190,1190,0,0
29,semijoin,PACER-A-SQL,9000,242,0.8,0,ranking_truncation,1.2378330000046844,139,4800,4800,0,0
29,semijoin,PACER-X-SQL,9000,242,1.0,1,none,1.8851370000447787,242,8069,8069,1,0
30,antijoin,ExactSQL,9000,2445,1.0,1,none,0.2225199998520111,2445,9000,9000,1,0
30,antijoin,PostFilter-SQL,9000,2445,0.6,0,ranking_truncation,0.07028899995020765,272,1111,1111,0,0
30,antijoin,PACER-A-SQL,9000,2445,1.0,1,none,1.3300739999522193,1336,4800,4800,0,0
30,antijoin,PACER-X-SQL,9000,2445,1.0,1,none,2.4311939998824528,2445,9000,9000,1,0
31,mixed,ExactSQL,9000,1791,1.0,1,none,0.1837239999531448,1791,9000,9000,1,0
31,mixed,PostFilter-SQL,9000,1791,0.8,0,ranking_truncation,0.09657600003265543,241,944,944,0,0
31,mixed,PACER-A-SQL,9000,1791,0.8,0,ranking_truncation,1.256708000028084,932,4800,4800,0,0
31,mixed,PACER-X-SQL,9000,1791,1.0,1,none,2.2654459999102983,1791,9000,9000,1,0
32,dnf,ExactSQL,9000,664,1.0,1,none,0.10905900012403436,664,9000,9000,1,0
32,dnf,PostFilter-SQL,9000,664,0.6,0,ranking_truncation,0.04942299983667908,64,1017,1017,0,0
32,dnf,PACER-A-SQL,9000,664,0.7,0,ranking_truncation,1.7501399997854605,322,4800,4800,0,0
32,dnf,PACER-X-SQL,9000,664,1.0,1,none,2.3595710001700354,664,8912,8912,1,0
33,semijoin,ExactSQL,9000,240,1.0,1,none,0.04011999999420368,240,9000,9000,1,0
33,semijoin,PostFilter-SQL,9000,240,0.8,0,ranking_truncation,0.05258099986349407,37,1041,1041,0,0
33,semijoin,PACER-A-SQL,9000,240,1.0,1,none,1.1650419999114092,153,4800,4800,0,0
33,semijoin,PACER-X-SQL,9000,240,1.0,1,none,1.7665689999830647,240,8224,8224,1,0
34,antijoin,ExactSQL,9000,2166,1.0,1,none,0.16848599989316426,2166,9000,9000,1,0
34,antijoin,PostFilter-SQL,9000,2166,0.7,0,ranking_truncation,0.06845999996585306,253,1164,1164,0,0
34,antijoin,PACER-A-SQL,9000,2166,0.9,0,ranking_truncation,1.3539770000079443,1067,4800,4800,0,0
34,antijoin,PACER-X-SQL,9000,2166,1.0,1,none,2.1865360001811496,2166,9000,9000,1,0
35,mixed,ExactSQL,9000,1970,1.0,1,none,0.14028300006430072,1970,9000,9000,1,0
35,mixed,PostFilter-SQL,9000,1970,0.8,0,ranking_truncation,0.07795100009388989,284,1199,1199,0,0
35,mixed,PACER-A-SQL,9000,1970,1.0,1,none,1.2883179999789718,1066,4800,4800,0,0
35,mixed,PACER-X-SQL,9000,1970,1.0,1,none,2.2293790000276204,1970,9000,9000,1,0
36,dnf,ExactSQL,9000,253,1.0,1,none,0.040492999914931715,253,9000,9000,1,0
36,dnf,PostFilter-SQL,9000,253,0.5,0,ranking_truncation,0.04289200001039717,30,1035,1035,0,0
36,dnf,PACER-A-SQL,9000,253,0.9,0,ranking_truncation,1.0534210000514577,162,4800,4800,0,0
36,dnf,PACER-X-SQL,9000,253,1.0,1,none,1.7449919998853147,253,8241,8241,1,0
37,semijoin,ExactSQL,9000,264,1.0,1,none,0.04084600004716776,264,9000,9000,1,0
37,semijoin,PostFilter-SQL,9000,264,0.3,0,ranking_truncation,0.041517999989082455,30,1025,1025,0,0
37,semijoin,PACER-A-SQL,9000,264,0.7,0,ranking_truncation,1.2123899998641718,157,4800,4800,0,0
37,semijoin,PACER-X-SQL,9000,264,1.0,1,none,1.7817840000589058,264,8188,8188,1,0
38,antijoin,ExactSQL,9000,2187,1.0,1,none,0.15355599998656544,2187,9000,9000,1,0
