query_id,regime,correlation,method,budget,recall_at_k,secure_topk_exact,latency_ms,candidates,raw_candidates,distance_evals,policy_checks,policy_violations,deleted_violations,tenant_violations,certified
0,broad,independent,PostFilter-IVF,150,0.9,0,0.7485050000468618,72,150,150,150,0,0,0,0
0,broad,independent,AdaptivePostFilter-IVF,150,0.2,0,0.22016299999449984,68,150,150,150,0,0,0,0
0,broad,independent,PACER-A,150,0.4,0,0.9021209998536506,139,150,150,150,0,0,0,0
1,medium,independent,PostFilter-IVF,150,0.3,0,0.4224280000926228,3,150,150,150,0,0,0,0
1,medium,independent,AdaptivePostFilter-IVF,150,0.3,0,0.31856300006438687,4,150,150,150,0,0,0,0
1,medium,independent,PACER-A,150,1.0,1,4.547083000034036,133,150,150,150,0,0,0,0
2,narrow,independent,PostFilter-IVF,150,0.16666666666666666,0,0.30989400011094403,1,150,150,150,0,0,0,0
2,narrow,independent,AdaptivePostFilter-IVF,150,0.16666666666666666,0,0.19864299997607304,1,150,150,150,0,0,0,0
2,narrow,independent,PACER-A,150,1.0,1,0.42407299997648806,6,6,6,6,0,0,0,1
3,cold,independent,PostFilter-IVF,150,0.0,0,0.6949050000457646,0,150,150,150,0,0,0,0
3,cold,independent,AdaptivePostFilter-IVF,150,0.0,0,0.21268999989842996,0,150,150,150,0,0,0,0
3,cold,independent,PACER-A,150,1.0,1,0.2053619998605427,1,1,1,1,0,0,0,1
4,broad,independent,PostFilter-IVF,150,0.9,0,0.31023999986246054,60,150,150,150,0,0,0,0
4,broad,independent,AdaptivePostFilter-IVF,150,0.2,0,0.16866900000422902,59,150,150,150,0,0,0,0
4,broad,independent,PACER-A,150,0.5,0,0.7767120000607974,139,150,150,150,0,0,0,0
5,medium,independent,PostFilter-IVF,150,0.3,0,0.2722530000482948,3,150,150,150,0,0,0,0
5,medium,independent,AdaptivePostFilter-IVF,150,0.1,0,0.1992160000554577,1,150,150,150,0,0,0,0
5,medium,independent,PACER-A,150,1.0,1,3.4042439999666385,134,150,150,150,0,0,0,0
6,narrow,independent,PostFilter-IVF,150,0.0,0,0.25129799996648217,0,150,150,150,0,0,0,0
6,narrow,independent,AdaptivePostFilter-IVF,150,0.1111111111111111,0,0.195735000033892,1,150,150,150,0,0,0,0
6,narrow,independent,PACER-A,150,1.0,1,0.6885330001296097,9,9,9,9,0,0,0,1
