query_id,regime,correlation,method,n,dim,k,allowed_count,selectivity,returned,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,explanation_valid,explanation_total,explanation_accuracy,latency_ms,raw_candidates,candidates,distance_evals,policy_checks,summary_checks,visited_cluster_count,certified,certified_and_exact,certificate_false_positive,certificate_gap,truncated_visible_slice
0,broad,independent,ExactSecure,8000,64,10,3644,0.4555,10,1.0,1,none,0,0,0,10,10,1.0,4.6398070001032465,8000,3644,3644,8000,0,0,1,1,0,0.0,0
0,broad,independent,PreFilter-Exact,8000,64,10,3644,0.4555,10,1.0,1,none,0,0,0,10,10,1.0,4.053323000107412,8000,3644,3644,8000,0,0,1,1,0,0.0,0
0,broad,independent,BitmapSlice-Exact,8000,64,10,3644,0.4555,10,1.0,1,none,0,0,0,10,10,1.0,6.7603219999909925,4019,3644,3644,4019,0,0,1,1,0,0.0,0
0,broad,independent,ScalarOnly,8000,64,10,3644,0.4555,10,0.0,0,ranking_truncation,0,0,0,10,10,1.0,3.9361679998819454,8000,3644,0,8000,0,0,0,1,0,0.0,0
0,broad,independent,PostFilter-IVF,8000,64,10,3644,0.4555,10,0.9,0,ranking_truncation,0,0,0,10,10,1.0,1.0099399999035086,1110,535,1110,1110,0,8,0,1,0,0.0,0
0,broad,independent,AdaptivePostFilter-IVF,8000,64,10,3644,0.4555,10,1.0,1,none,0,0,0,10,10,1.0,5.488698999897679,4800,2218,4800,4800,0,38,0,1,0,0.0,0
0,broad,independent,ExactPrefix-PostFilter,8000,64,10,3644,0.4555,10,1.0,1,none,0,0,0,10,10,1.0,2.2617340000579134,2400,1131,8000,2400,0,0,0,1,0,0.0,0
0,broad,independent,TenantPartition-IVF,8000,64,10,3644,0.4555,10,0.9,0,ranking_truncation,0,0,0,10,10,1.0,0.7571139999527077,1110,535,1110,1110,0,8,0,1,0,0.0,0
0,broad,independent,PreFilter-IVF,8000,64,10,3644,0.4555,10,0.8,0,ranking_truncation,0,0,0,10,10,1.0,1.196570000047359,1083,527,527,1083,8,8,0,1,0,0.0,0
0,broad,independent,PACER-A,8000,64,10,3644,0.4555,10,1.0,1,none,0,0,0,10,10,1.0,7.013430000142762,2400,2190,2400,2400,35,35,0,1,0,0.6154173910617828,1
0,broad,independent,PACER-C,8000,64,10,3644,0.4555,10,1.0,1,none,0,0,0,10,10,1.0,11.419463999800428,4019,3644,4019,4019,64,64,1,1,0,0.0,0
0,broad,independent,PACER-X,8000,64,10,3644,0.4555,10,1.0,1,none,0,0,0,10,10,1.0,14.817944000014904,4019,3644,4019,4019,64,64,1,1,0,0.0,0
0,broad,independent,PACER-A-NoSlices,8000,64,10,3644,0.4555,10,1.0,1,none,0,0,0,10,10,1.0,3.7922509998224996,2400,1108,2400,2400,19,19,0,1,0,0.6352377831935883,1
0,broad,independent,PACER-A-NoBounds,8000,64,10,3644,0.4555,10,1.0,1,none,0,0,0,10,10,1.0,7.848307999893223,2400,2182,2400,2400,37,37,0,1,0,0.0,1
0,broad,independent,StaleNoRecheck,8000,64,10,3644,0.4555,10,0.9,0,ranking_truncation,0,0,0,10,10,1.0,1.0066769998502423,1110,582,1110,1110,0,8,0,1,0,0.0,0
0,broad,independent,NaiveNoPolicy,8000,64,10,3644,0.4555,10,0.5,0,ranking_truncation,0,0,5,5,10,0.5,0.3167689999372669,1110,1110,1110,0,0,8,0,1,0,0.0,0
1,medium,independent,ExactSecure,8000,64,10,184,0.023,10,1.0,1,none,0,0,0,10,10,1.0,4.497758000070462,8000,184,184,8000,0,0,1,1,0,0.0,0
1,medium,independent,PreFilter-Exact,8000,64,10,184,0.023,10,1.0,1,none,0,0,0,10,10,1.0,4.750030999957744,8000,184,184,8000,0,0,1,1,0,0.0,0
1,medium,independent,BitmapSlice-Exact,8000,64,10,184,0.023,10,1.0,1,none,0,0,0,10,10,1.0,0.5683150000095338,204,184,184,204,0,0,1,1,0,0.0,0
1,medium,independent,ScalarOnly,8000,64,10,184,0.023,10,0.1,0,ranking_truncation,0,0,0,10,10,1.0,4.182140000011714,8000,184,0,8000,0,0,0,1,0,0.0,0
1,medium,independent,PostFilter-IVF,8000,64,10,184,0.023,10,0.5,0,ranking_truncation,0,0,0,10,10,1.0,1.0524959998292616,1252,29,1252,1252,0,8,0,1,0,0.0,0
1,medium,independent,AdaptivePostFilter-IVF,8000,64,10,184,0.023,10,1.0,1,none,0,0,0,10,10,1.0,4.759135000085735,4800,112,4800,4800,0,37,0,1,0,0.0,0
1,medium,independent,ExactPrefix-PostFilter,8000,64,10,184,0.023,10,1.0,1,none,0,0,0,10,10,1.0,2.403109000169934,2400,58,8000,2400,0,0,0,1,0,0.0,0
1,medium,independent,TenantPartition-IVF,8000,64,10,184,0.023,10,0.5,0,ranking_truncation,0,0,0,10,10,1.0,1.1764410000978387,1252,29,1252,1252,0,8,0,1,0,0.0,0
1,medium,independent,PreFilter-IVF,8000,64,10,184,0.023,10,0.6,0,ranking_truncation,0,0,0,10,10,1.0,1.3909619999594725,1244,33,33,1244,9,8,0,1,0,0.0,0
1,medium,independent,PACER-A,8000,64,10,184,0.023,10,1.0,1,none,0,0,0,10,10,1.0,5.080929000087053,204,184,204,204,63,60,1,1,0,0.0,0
1,medium,independent,PACER-C,8000,64,10,184,0.023,10,1.0,1,none,0,0,0,10,10,1.0,4.867781999791987,204,184,204,204,63,60,1,1,0,0.0,0
1,medium,independent,PACER-X,8000,64,10,184,0.023,10,1.0,1,none,0,0,0,10,10,1.0,4.935020999937478,204,184,204,204,63,60,1,1,0,0.0,0
1,medium,independent,PACER-A-NoSlices,8000,64,10,184,0.023,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,2.6241610000852233,2400,53,2400,2400,18,18,0,1,0,0.7939085364341736,1
1,medium,independent,PACER-A-NoBounds,8000,64,10,184,0.023,10,1.0,1,none,0,0,0,10,10,1.0,4.893304999995962,204,184,204,204,64,60,1,1,0,0.0,0
1,medium,independent,StaleNoRecheck,8000,64,10,184,0.023,10,0.5,0,ranking_truncation,0,2,0,8,10,0.8,1.0948130000087986,1252,32,1252,1252,0,8,0,1,0,0.0,0
1,medium,independent,NaiveNoPolicy,8000,64,10,184,0.023,10,0.0,0,ranking_truncation,9,1,10,0,10,0.0,0.49056300008487597,1252,1252,1252,0,0,8,0,1,0,0.0,0
2,narrow,independent,ExactSecure,8000,64,10,6,0.00075,6,1.0,1,none,0,0,0,6,6,1.0,4.731183000103556,8000,6,6,8000,0,0,1,1,0,0.0,0
2,narrow,independent,PreFilter-Exact,8000,64,10,6,0.00075,6,1.0,1,none,0,0,0,6,6,1.0,3.9931130002059945,8000,6,6,8000,0,0,1,1,0,0.0,0
2,narrow,independent,BitmapSlice-Exact,8000,64,10,6,0.00075,6,1.0,1,none,0,0,0,6,6,1.0,0.09027900000546651,6,6,6,6,0,0,1,1,0,0.0,0
2,narrow,independent,ScalarOnly,8000,64,10,6,0.00075,6,1.0,0,ranking_truncation,0,0,0,6,6,1.0,4.300867999972979,8000,6,0,8000,0,0,0,1,0,0.0,0
2,narrow,independent,PostFilter-IVF,8000,64,10,6,0.00075,1,0.16666666666666666,0,candidate_starvation,0,0,0,1,1,1.0,0.9655879998717865,843,1,843,843,0,8,0,1,0,0.0,0
2,narrow,independent,AdaptivePostFilter-IVF,8000,64,10,6,0.00075,4,0.6666666666666666,0,candidate_starvation,0,0,0,4,4,1.0,4.377005999913308,4800,4,4800,4800,0,38,0,1,0,0.0,0
2,narrow,independent,ExactPrefix-PostFilter,8000,64,10,6,0.00075,3,0.5,0,candidate_starvation,0,0,0,3,3,1.0,2.268893000064054,2400,3,8000,2400,0,0,0,1,0,0.0,0
2,narrow,independent,TenantPartition-IVF,8000,64,10,6,0.00075,1,0.16666666666666666,0,candidate_starvation,0,0,0,1,1,1.0,0.42296500009797455,843,1,843,843,0,8,0,1,0,0.0,0
2,narrow,independent,PreFilter-IVF,8000,64,10,6,0.00075,6,1.0,1,none,0,0,0,6,6,1.0,1.0591029999886814,758,6,6,758,64,5,0,1,0,0.0,0
2,narrow,independent,PACER-A,8000,64,10,6,0.00075,6,1.0,1,none,0,0,0,6,6,1.0,0.41340699999636854,6,6,6,6,44,5,1,1,0,0.0,0
2,narrow,independent,PACER-C,8000,64,10,6,0.00075,6,1.0,1,none,0,0,0,6,6,1.0,0.523435999866706,6,6,6,6,44,5,1,1,0,0.0,0
2,narrow,independent,PACER-X,8000,64,10,6,0.00075,6,1.0,1,none,0,0,0,6,6,1.0,0.42850299996644026,6,6,6,6,44,5,1,1,0,0.0,0
2,narrow,independent,PACER-A-NoSlices,8000,64,10,6,0.00075,1,0.16666666666666666,0,candidate_starvation,0,0,0,1,1,1.0,2.00019799990514,2400,1,2400,2400,19,19,0,1,0,0.0,1
2,narrow,independent,PACER-A-NoBounds,8000,64,10,6,0.00075,6,1.0,1,none,0,0,0,6,6,1.0,0.36339700000098674,6,6,6,6,43,5,1,1,0,0.0,0
2,narrow,independent,StaleNoRecheck,8000,64,10,6,0.00075,1,0.16666666666666666,0,candidate_starvation,0,0,0,1,1,1.0,0.7708779999120452,843,1,843,843,0,8,0,1,0,0.0,0
2,narrow,independent,NaiveNoPolicy,8000,64,10,6,0.00075,10,0.0,0,ranking_truncation,10,3,10,0,10,0.0,0.21584299997812195,843,843,843,0,0,8,0,1,0,0.0,0
3,cold,independent,ExactSecure,8000,64,10,1,0.000125,1,1.0,1,none,0,0,0,1,1,1.0,3.8406510000186245,8000,1,1,8000,0,0,1,1,0,0.0,0
3,cold,independent,PreFilter-Exact,8000,64,10,1,0.000125,1,1.0,1,none,0,0,0,1,1,1.0,4.145203999996738,8000,1,1,8000,0,0,1,1,0,0.0,0
3,cold,independent,BitmapSlice-Exact,8000,64,10,1,0.000125,1,1.0,1,none,0,0,0,1,1,1.0,0.06593099988094764,1,1,1,1,0,0,1,1,0,0.0,0
3,cold,independent,ScalarOnly,8000,64,10,1,0.000125,1,1.0,1,none,0,0,0,1,1,1.0,3.9456290000998706,8000,1,0,8000,0,0,0,1,0,0.0,0
3,cold,independent,PostFilter-IVF,8000,64,10,1,0.000125,0,0.0,0,candidate_starvation,0,0,0,0,0,1.0,0.7985540000845504,959,0,959,959,0,8,0,1,0,0.0,0
3,cold,independent,AdaptivePostFilter-IVF,8000,64,10,1,0.000125,0,0.0,0,candidate_starvation,0,0,0,0,0,1.0,4.325224000012895,4800,0,4800,4800,0,39,0,1,0,0.0,0
3,cold,independent,ExactPrefix-PostFilter,8000,64,10,1,0.000125,1,1.0,1,none,0,0,0,1,1,1.0,2.111003999971217,2400,1,8000,2400,0,0,0,1,0,0.0,0
