query_id,regime,correlation,method,budget,recall_at_k,secure_topk_exact,latency_ms,candidates,raw_candidates,distance_evals,policy_checks,policy_violations,deleted_violations,tenant_violations,certified
0,broad,negative,PostFilter-IVF,150,0.7,0,0.5216800000198418,65,150,150,150,0,0,0,0
0,broad,negative,AdaptivePostFilter-IVF,150,0.4,0,3.4363030001713923,64,150,150,150,0,0,0,0
0,broad,negative,PACER-A,150,0.3,0,0.6650350001109473,136,150,150,150,0,0,0,0
1,medium,negative,PostFilter-IVF,150,0.5,0,0.2870819998861407,5,150,150,150,0,0,0,0
1,medium,negative,AdaptivePostFilter-IVF,150,0.2,0,0.20054699984939361,7,150,150,150,0,0,0,0
1,medium,negative,PACER-A,150,1.0,1,2.8952440000011848,137,150,150,150,0,0,0,0
2,narrow,negative,PostFilter-IVF,150,0.0,0,0.2723449999848526,0,150,150,150,0,0,0,0
2,narrow,negative,AdaptivePostFilter-IVF,150,0.0,0,0.22513400017487584,0,150,150,150,0,0,0,0
2,narrow,negative,PACER-A,150,1.0,1,0.3053989998988982,4,4,4,4,0,0,0,1
3,cold,negative,PostFilter-IVF,150,0.2,0,0.28488400016613014,1,150,150,150,0,0,0,0
3,cold,negative,AdaptivePostFilter-IVF,150,0.4,0,0.2382770001077006,2,150,150,150,0,0,0,0
3,cold,negative,PACER-A,150,1.0,1,0.3309619999072311,5,5,5,5,0,0,0,1
4,broad,negative,PostFilter-IVF,150,0.8,0,0.2794810000068537,57,150,150,150,0,0,0,0
4,broad,negative,AdaptivePostFilter-IVF,150,0.6,0,0.21130100003574626,57,150,150,150,0,0,0,0
4,broad,negative,PACER-A,150,0.7,0,0.7398779998766258,137,150,150,150,0,0,0,0
5,medium,negative,PostFilter-IVF,150,0.1,0,0.25096900003518385,1,150,150,150,0,0,0,0
5,medium,negative,AdaptivePostFilter-IVF,150,0.1,0,0.19638100002339343,3,150,150,150,0,0,0,0
5,medium,negative,PACER-A,150,1.0,1,3.426969999964058,130,150,150,150,0,0,0,0
6,narrow,negative,PostFilter-IVF,150,0.0,0,0.2574349998667458,0,150,150,150,0,0,0,0
6,narrow,negative,AdaptivePostFilter-IVF,150,0.0,0,0.1814530000956438,0,150,150,150,0,0,0,0
6,narrow,negative,PACER-A,150,1.0,1,0.25971300010496634,5,5,5,5,0,0,0,1
7,cold,negative,PostFilter-IVF,150,0.0,0,0.23820799992790853,0,150,150,150,0,0,0,0
7,cold,negative,AdaptivePostFilter-IVF,150,0.0,0,0.17434899996260356,0,150,150,150,0,0,0,0
7,cold,negative,PACER-A,150,1.0,1,0.20631500001400127,2,2,2,2,0,0,0,1
8,broad,negative,PostFilter-IVF,150,0.9,0,0.30697299985149584,69,150,150,150,0,0,0,0
8,broad,negative,AdaptivePostFilter-IVF,150,0.8,0,0.20943200001966034,89,150,150,150,0,0,0,0
8,broad,negative,PACER-A,150,0.7,0,0.6189719999838417,137,150,150,150,0,0,0,0
9,medium,negative,PostFilter-IVF,150,0.1,0,0.2848010001343937,1,150,150,150,0,0,0,0
9,medium,negative,AdaptivePostFilter-IVF,150,0.0,0,0.19500400003380491,1,150,150,150,0,0,0,0
9,medium,negative,PACER-A,150,0.9,0,2.7472609999676934,131,150,150,150,0,0,0,0
10,narrow,negative,PostFilter-IVF,150,0.0,0,0.24693399996067456,0,150,150,150,0,0,0,0
10,narrow,negative,AdaptivePostFilter-IVF,150,0.0,0,0.14104000001680106,0,150,150,150,0,0,0,0
10,narrow,negative,PACER-A,150,1.0,1,0.46151700007612817,7,7,7,7,0,0,0,1
11,cold,negative,PostFilter-IVF,150,0.0,0,0.26476099992578384,0,150,150,150,0,0,0,0
11,cold,negative,AdaptivePostFilter-IVF,150,0.0,0,0.1423920000434009,0,150,150,150,0,0,0,0
11,cold,negative,PACER-A,150,1.0,1,0.20875900008832105,1,2,2,2,0,0,0,1
12,broad,negative,PostFilter-IVF,150,0.5,0,0.3055490001315775,60,150,150,150,0,0,0,0
