method,failure_mode,fraction
AdaptivePostFilter-IVF,none,0.2916666666666667
AdaptivePostFilter-IVF,candidate_starvation,0.4583333333333333
AdaptivePostFilter-IVF,ranking_truncation,0.25
BitmapSlice-Exact,none,1.0
BitmapSlice-Exact,candidate_starvation,0.0
BitmapSlice-Exact,ranking_truncation,0.0
ExactPrefix-PostFilter,none,0.5
ExactPrefix-PostFilter,candidate_starvation,0.5
ExactPrefix-PostFilter,ranking_truncation,0.0
ExactSecure,none,1.0
ExactSecure,candidate_starvation,0.0
ExactSecure,ranking_truncation,0.0
NaiveNoPolicy,none,0.0
NaiveNoPolicy,candidate_starvation,0.0
NaiveNoPolicy,ranking_truncation,1.0
PACER-A,none,0.9166666666666666
PACER-A,candidate_starvation,0.0
PACER-A,ranking_truncation,0.08333333333333333
PACER-A-NoBounds,none,0.9166666666666666
PACER-A-NoBounds,candidate_starvation,0.0
PACER-A-NoBounds,ranking_truncation,0.08333333333333333
PACER-A-NoSlices,none,0.041666666666666664
PACER-A-NoSlices,candidate_starvation,0.4583333333333333
PACER-A-NoSlices,ranking_truncation,0.5
PACER-C,none,1.0
PACER-C,candidate_starvation,0.0
PACER-C,ranking_truncation,0.0
PACER-X,none,1.0
PACER-X,candidate_starvation,0.0
PACER-X,ranking_truncation,0.0
PostFilter-IVF,none,0.0
PostFilter-IVF,candidate_starvation,0.5416666666666666
PostFilter-IVF,ranking_truncation,0.4583333333333333
PreFilter-Exact,none,1.0
PreFilter-Exact,candidate_starvation,0.0
PreFilter-Exact,ranking_truncation,0.0
PreFilter-IVF,none,0.5
PreFilter-IVF,candidate_starvation,0.0
PreFilter-IVF,ranking_truncation,0.5
ScalarOnly,none,0.16666666666666666
ScalarOnly,candidate_starvation,0.0
ScalarOnly,ranking_truncation,0.8333333333333334
StaleNoRecheck,none,0.0
StaleNoRecheck,candidate_starvation,0.5416666666666666
StaleNoRecheck,ranking_truncation,0.4583333333333333
TenantPartition-IVF,none,0.0
TenantPartition-IVF,candidate_starvation,0.5416666666666666
TenantPartition-IVF,ranking_truncation,0.4583333333333333
