query_id,regime,correlation,method,n,dim,k,allowed_count,selectivity,returned,recall_at_k,secure_topk_exact,failure_mode,policy_violations,deleted_violations,tenant_violations,explanation_valid,explanation_total,explanation_accuracy,latency_ms,raw_candidates,candidates,distance_evals,policy_checks,summary_checks,visited_cluster_count,certified,certified_and_exact,certificate_false_positive,certificate_gap,truncated_visible_slice
0,broad,positive,ExactSecure,8000,64,10,3535,0.441875,10,1.0,1,none,0,0,0,10,10,1.0,4.961856000136322,8000,3535,3535,8000,0,0,1,1,0,0.0,0
0,broad,positive,PreFilter-Exact,8000,64,10,3535,0.441875,10,1.0,1,none,0,0,0,10,10,1.0,4.8204300001088995,8000,3535,3535,8000,0,0,1,1,0,0.0,0
0,broad,positive,BitmapSlice-Exact,8000,64,10,3535,0.441875,10,1.0,1,none,0,0,0,10,10,1.0,7.930466000061642,4073,3535,3535,4073,0,0,1,1,0,0.0,0
0,broad,positive,ScalarOnly,8000,64,10,3535,0.441875,10,0.0,0,ranking_truncation,0,0,0,10,10,1.0,4.348332999825288,8000,3535,0,8000,0,0,0,1,0,0.0,0
0,broad,positive,PostFilter-IVF,8000,64,10,3535,0.441875,10,0.5,0,ranking_truncation,0,0,0,10,10,1.0,1.0475020001194935,1089,460,1089,1089,0,8,0,1,0,0.0,0
0,broad,positive,AdaptivePostFilter-IVF,8000,64,10,3535,0.441875,10,1.0,1,none,0,0,0,10,10,1.0,6.203674000062165,4800,2104,4800,4800,0,39,0,1,0,0.0,0
0,broad,positive,ExactPrefix-PostFilter,8000,64,10,3535,0.441875,10,1.0,1,none,0,0,0,10,10,1.0,2.7457979999780946,2400,1060,8000,2400,0,0,0,1,0,0.0,0
0,broad,positive,TenantPartition-IVF,8000,64,10,3535,0.441875,10,0.5,0,ranking_truncation,0,0,0,10,10,1.0,0.8912239998153382,1089,460,1089,1089,0,8,0,1,0,0.0,0
0,broad,positive,PreFilter-IVF,8000,64,10,3535,0.441875,10,0.4,0,ranking_truncation,0,0,0,10,10,1.0,1.8332499998905405,997,434,434,997,8,8,0,1,0,0.0,0
0,broad,positive,PACER-A,8000,64,10,3535,0.441875,10,1.0,1,none,0,0,0,10,10,1.0,8.077640999999858,2400,2069,2400,2400,37,37,0,1,0,0.6376963555812836,1
0,broad,positive,PACER-C,8000,64,10,3535,0.441875,10,1.0,1,none,0,0,0,10,10,1.0,13.34115299982841,4073,3535,4073,4073,64,64,1,1,0,0.0,0
0,broad,positive,PACER-X,8000,64,10,3535,0.441875,10,1.0,1,none,0,0,0,10,10,1.0,12.800169000001915,4073,3535,4073,4073,64,64,1,1,0,0.0,0
0,broad,positive,PACER-A-NoSlices,8000,64,10,3535,0.441875,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,4.1597699998874305,2400,1036,2400,2400,20,20,0,1,0,0.6684951782226562,1
0,broad,positive,PACER-A-NoBounds,8000,64,10,3535,0.441875,10,1.0,1,none,0,0,0,10,10,1.0,10.17243100000087,2400,2072,2400,2400,38,38,0,1,0,0.0,1
0,broad,positive,StaleNoRecheck,8000,64,10,3535,0.441875,10,0.5,0,ranking_truncation,0,4,0,6,10,0.6,1.416670000025988,1089,532,1089,1089,0,8,0,1,0,0.0,0
0,broad,positive,NaiveNoPolicy,8000,64,10,3535,0.441875,10,0.4,0,ranking_truncation,0,3,5,4,10,0.4,0.3130889999738429,1089,1089,1089,0,0,8,0,1,0,0.0,0
1,medium,positive,ExactSecure,8000,64,10,201,0.025125,10,1.0,1,none,0,0,0,10,10,1.0,5.027454000128273,8000,201,201,8000,0,0,1,1,0,0.0,0
1,medium,positive,PreFilter-Exact,8000,64,10,201,0.025125,10,1.0,1,none,0,0,0,10,10,1.0,5.197266000095624,8000,201,201,8000,0,0,1,1,0,0.0,0
1,medium,positive,BitmapSlice-Exact,8000,64,10,201,0.025125,10,1.0,1,none,0,0,0,10,10,1.0,0.9079930000552849,239,201,201,239,0,0,1,1,0,0.0,0
1,medium,positive,ScalarOnly,8000,64,10,201,0.025125,10,0.0,0,ranking_truncation,0,0,0,10,10,1.0,5.454120999957013,8000,201,0,8000,0,0,0,1,0,0.0,0
1,medium,positive,PostFilter-IVF,8000,64,10,201,0.025125,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,1.419828000052803,1006,39,1006,1006,0,8,0,1,0,0.0,0
1,medium,positive,AdaptivePostFilter-IVF,8000,64,10,201,0.025125,10,0.9,0,ranking_truncation,0,0,0,10,10,1.0,5.456077999951958,4800,130,4800,4800,0,39,0,1,0,0.0,0
1,medium,positive,ExactPrefix-PostFilter,8000,64,10,201,0.025125,10,1.0,1,none,0,0,0,10,10,1.0,3.032384999869464,2400,75,8000,2400,0,0,0,1,0,0.0,0
1,medium,positive,TenantPartition-IVF,8000,64,10,201,0.025125,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,0.66142800005764,1006,39,1006,1006,0,8,0,1,0,0.0,0
1,medium,positive,PreFilter-IVF,8000,64,10,201,0.025125,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,1.1216360001071735,1116,41,41,1116,9,8,0,1,0,0.0,0
1,medium,positive,PACER-A,8000,64,10,201,0.025125,10,1.0,1,none,0,0,0,10,10,1.0,5.317976999776874,239,201,239,239,64,50,1,1,0,0.0,0
1,medium,positive,PACER-C,8000,64,10,201,0.025125,10,1.0,1,none,0,0,0,10,10,1.0,5.241368000042712,239,201,239,239,64,50,1,1,0,0.0,0
1,medium,positive,PACER-X,8000,64,10,201,0.025125,10,1.0,1,none,0,0,0,10,10,1.0,5.170197000097687,239,201,239,239,64,50,1,1,0,0.0,0
1,medium,positive,PACER-A-NoSlices,8000,64,10,201,0.025125,10,0.7,0,ranking_truncation,0,0,0,10,10,1.0,3.586159999940719,2400,62,2400,2400,21,21,0,1,0,0.7844709753990173,1
1,medium,positive,PACER-A-NoBounds,8000,64,10,201,0.025125,10,1.0,1,none,0,0,0,10,10,1.0,4.943560000128855,239,201,239,239,64,50,1,1,0,0.0,0
1,medium,positive,StaleNoRecheck,8000,64,10,201,0.025125,10,0.7,0,ranking_truncation,0,2,0,8,10,0.8,0.8793880001576326,1006,47,1006,1006,0,8,0,1,0,0.0,0
1,medium,positive,NaiveNoPolicy,8000,64,10,201,0.025125,10,0.1,0,ranking_truncation,8,0,8,1,10,0.1,0.666832999968392,1006,1006,1006,0,0,8,0,1,0,0.0,0
2,narrow,positive,ExactSecure,8000,64,10,6,0.00075,6,1.0,1,none,0,0,0,6,6,1.0,4.434147999972993,8000,6,6,8000,0,0,1,1,0,0.0,0
2,narrow,positive,PreFilter-Exact,8000,64,10,6,0.00075,6,1.0,1,none,0,0,0,6,6,1.0,4.862447000050452,8000,6,6,8000,0,0,1,1,0,0.0,0
2,narrow,positive,BitmapSlice-Exact,8000,64,10,6,0.00075,6,1.0,1,none,0,0,0,6,6,1.0,0.08620499988865049,6,6,6,6,0,0,1,1,0,0.0,0
2,narrow,positive,ScalarOnly,8000,64,10,6,0.00075,6,1.0,0,ranking_truncation,0,0,0,6,6,1.0,5.223932000035347,8000,6,0,8000,0,0,0,1,0,0.0,0
2,narrow,positive,PostFilter-IVF,8000,64,10,6,0.00075,1,0.16666666666666666,0,candidate_starvation,0,0,0,1,1,1.0,1.2077320000116742,943,1,943,943,0,8,0,1,0,0.0,0
2,narrow,positive,AdaptivePostFilter-IVF,8000,64,10,6,0.00075,5,0.8333333333333334,0,candidate_starvation,0,0,0,5,5,1.0,6.416490999981761,4800,5,4800,4800,0,40,0,1,0,0.0,0
